authorid,articleid
7Yrt_04AAAAJ,10.1093/rfs/hhg003
4pKOgR4AAAAJ,10.1093/rfs/hhg004
Oigg-tkAAAAJ,10.1093/rfs/hhg002
9VGJ41IAAAAJ,10.1093/rfs/hhg002
ctHVoM8AAAAJ,10.1093/rfs/hhg006
BKG_SzMAAAAJ,10.1093/rfs/hhg006
3hsZ9UEAAAAJ,10.1093/rfs/hhg001
qE1_fccAAAAJ,10.1093/rfs/hhg001
VKGaIckAAAAJ,10.1093/rfs/hhg001
q9g8tuAAAAAJ,10.1093/rfs/hhg007
NxqD3DEAAAAJ,10.1093/rfs/hhg009
7bEGjnoAAAAJ,10.1093/rfs/hhg005
IlRUmc8AAAAJ,10.1093/rfs/hhg005
xClVAfwAAAAJ,10.1093/rfs/hhg005
_j-CAPwAAAAJ,10.1093/rfs/hhg008
y5-0f7IAAAAJ,10.1093/rfs/hhg008
x7N5JUYAAAAJ,10.1093/rfs/hhg018
EtN-bVjx2gUC,10.1093/rfs/hhg017
P_sCbRcAAAAJ,10.1093/rfs/hhg017
8XVOgYIAAAAJ,10.1093/rfs/hhg016
kQ3Wb_sAAAAJ,10.1093/rfs/hhg016
lNrvMyUAAAAJ,10.1093/rfs/hhg015
Yj4Id1IAAAAJ,10.1093/rfs/hhg014
n2DZr6cAAAAJ,10.1093/rfs/hhg013
d33zFzkAAAAJ,10.1093/rfs/hhg012
ebG0uh0AAAAJ,10.1093/rfs/hhg012
WUcwc_0AAAAJ,10.1093/rfs/hhg011
-e7hticAAAAJ,10.1093/rfs/hhg031
nMmzI-4AAAAJ,10.1093/rfs/hhg031
7YctFdIAAAAJ,10.1093/rfs/hhg042
kTa8fS4AAAAJ,10.1093/rfs/hhg024
gHiHc9EAAAAJ,10.1093/rfs/hhg024
Y4H9u-0AAAAJ,10.1093/rfs/hhg022
znKtbQUAAAAJ,10.1093/rfs/hhg033
DgK2BzgAAAAJ,10.1093/rfs/hhg030
DYqhcKYAAAAJ,10.1093/rfs/hhg025
q9g8tuAAAAAJ,10.1093/rfs/hhg025
R-tms2UAAAAJ,10.1093/rfs/hhg036
v5d88bgAAAAJ,10.1093/rfs/hhg023
3-VrsV4AAAAJ,10.1093/rfs/hhg035
SuRAdBcAAAAJ,10.1093/rfs/hhg020
6pqUlRUAAAAJ,10.1093/rfs/hhg043
Wd-_7aoAAAAJ,10.1093/rfs/hhg043
xTw2Dh4AAAAJ,10.1093/rfs/hhg034
X9vpoyQAAAAJ,10.1093/rfs/hhg034
0pz-elAAAAAJ,10.1093/rfs/hhg021
GWa6HMMAAAAJ,10.1093/rfs/hhg021
cSrJhbIAAAAJ,10.1093/rfs/hhg058
3zfpvwMAAAAJ,10.1093/rfs/hhg058
gLZMRa0AAAAJ,10.1093/rfs/hhg058
j5HgL4MAAAAJ,10.1093/rfs/hhg038
2D_aoPkAAAAJ,10.1093/rfs/hhg028
v1YtBUAAAAAJ,10.1093/rfs/hhg028
K7t0GqMAAAAJ,10.1093/rfs/hhg028
ZSc-Ts8AAAAJ,10.1093/rfs/hhg039
rVHHIk0AAAAJ,10.1093/rfs/hhg039
DYqhcKYAAAAJ,10.1093/rfs/hhg037
q9g8tuAAAAAJ,10.1093/rfs/hhg037
MSIENCcAAAAJ,10.1093/rfs/hhg046
8Pu89u4AAAAJ,10.1093/rfs/hhg052
