,journal,title,authors,volume,jel,abstract,url,doi
0,Review of Economic Studies,"The Dynamics of Return Migration, Human Capital Accumulation, and Wage Assimilation","['Jerome Adda', 'Christian Dustmann', 'Joseph-Simon Görlach']","2022, vol. 89, issue 6, 2841-2871",[],"Abstract: This article develops and estimates a dynamic model where individuals differ in ability and location preference to evaluate the mechanisms that affect the evolution of immigrants’ careers in conjunction with their re-migration plans. Our analysis highlights a novel form of selective return migration where those who plan to stay longer invest more into skill acquisition, with important implications for the assessment of immigrants’ career paths and the estimation of their earnings profiles. Our study also explains the willingness of immigrants to accept jobs at wages that seem unacceptable to natives. Finally, our model provides important insight for the design of migration policies, showing that policies that initially restrict residence or condition residence on achievement shape not only immigrants’ career profiles through their impact on human capital investment but also determine the selection of arrivals and leavers.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a2841-2871..htm,10.1093/restud/rdac003
1,Review of Economic Studies,The Impact of Car Pollution on Infant and Child Health: Evidence from Emissions Cheating,"['Diane Alexander', 'Hannes Schwandt']","2022, vol. 89, issue 6, 2872-2910",[],"Abstract: In 2008, Volkswagen introduced a new generation of “Clean Diesel” cars and heavily marketed them to environmentally conscious US consumers. Unknown to the public, these cars were anything but clean, emitting pollutants up to 150 times the level of comparable gas-fuelled cars. We study the rollout of these emissions-cheating diesel cars across the United States from 2008 to 2015 as a natural experiment to examine the impact of moderate levels of car pollution on infant and child health in the general population. Using the universe of vehicle registrations, we find that an additional cheating diesel car per 1,000 cars increases , , and ozone by 2, 2.2, and 1.3, respectively, while the low birth weight rate and infant mortality rate increase by 1.9 and 1.7, respectively. Similar impacts are found for acute asthma attacks in children. These health impacts occur at all pollution levels and across the socioeconomic spectrum.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a2872-2910..htm,10.1093/restud/rdac007
2,Review of Economic Studies,The Welfare Effects of Transportation Infrastructure Improvements,"['Treb Allen', 'Costas Arkolakis']","2022, vol. 89, issue 6, 2911-2957",[],"Abstract: Each year in the US, hundreds of billions of dollars are spent on transportation infrastructure and billions of hours are lost in traffic. We develop a quantitative general equilibrium spatial framework featuring endogenous transportation costs and traffic congestion and apply it to evaluate the welfare impact of transportation infrastructure improvements. Our approach yields analytical expressions for transportation costs between any two locations, the traffic along each link of the transportation network, and the equilibrium distribution of economic activity across the economy, each as a function of the underlying quality of infrastructure and the strength of traffic congestion. We characterize the properties of such an equilibrium and show how the framework can be combined with traffic data to evaluate the impact of improving any segment of the infrastructure network. Applying our framework to both the US highway network and the Seattle road network, we find highly variable returns to investment across different links in the respective transportation networks, highlighting the importance of well-targeted infrastructure investment.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a2911-2957..htm,10.1093/restud/rdac001
3,Review of Economic Studies,Subjective Models of the Macroeconomy: Evidence From Experts and Representative Samples,"['Peter Andrebriq', 'Carlo Pizzinelli', 'Christopher Roth', 'Johannes Wohlfart']","2022, vol. 89, issue 6, 2958-2991",[],"Abstract: We study people’s subjective models of the macroeconomy and shed light on their attentional foundations. To do so, we measure beliefs about the effects of macroeconomic shocks on unemployment and inflation, providing respondents with identical information about the parameters of the shocks and previous realizations of macroeconomic variables. Within samples of 6,500 US households and 1,500 experts, beliefs are widely dispersed, even about the directional effects of shocks, and there are large differences in average beliefs between households and experts. Part of this disagreement seems to arise because respondents think of different propagation channels of the shocks, in particular demand- vs. supply-side mechanisms. We provide evidence on the role of associative memory in driving heterogeneity in thoughts and forecasts: contextual cues and prior experiences shape which propagation channels individuals retrieve and thereby which forecasts they make. Our findings offer a new perspective on the widely documented disagreement in macroeconomic expectations.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a2958-2991..htm,10.1093/restud/rdac008
4,Review of Economic Studies,"Product Life Cycle, Learning, and Nominal Shocks","['David Argente', 'Chen Yeh']","2022, vol. 89, issue 6, 2992-3054",[],"Abstract: This article documents a new set of stylized facts on how pricing moments depend on product age and emphasizes how this heterogeneity is crucial for the amplification of nominal shocks to the real economy. Exploiting information from a unique panel containing billions of transactions in the US consumer goods sector, we show that our empirical findings are consistent with a narrative in which firms face demand uncertainty and learn through prices. Such a mechanism of active learning from prices can strongly influence an economy’s aggregate price level and can thus be important for assessing the degree of monetary non-neutrality. To quantify this, we build a general equilibrium menu cost model with active learning and exogenous entry that features heterogeneity in pricing moments over the life cycle of products. Under this setup, firms engage in active learning to deal with uncertainty on their demand curves. Firms choose prices not only to maximize static profits but also to create signals to obtain valuable information on their demand. In the calibrated version of our model, the cumulative real effects of a nominal shock are approximately three times as large compared to a standard price-setting model. The main intuition behind this result is that active learning weakens the selection effect. Price changes are mainly determined by forces of active learning and, hence, become more orthogonal to aggregate shocks, which reduces the aggregate price flexibility of the economy.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a2992-3054..htm,10.1093/restud/rdac004
5,Review of Economic Studies,Coordinated Capacity Reductions and Public Communication in the Airline Industry,"['Gaurab Aryal', 'Federico Ciliberto', 'Benjamin T Leyden']","2022, vol. 89, issue 6, 3055-3084",[],"Abstract: We investigate the allegation that legacy US airlines communicated via earnings calls to coordinate with other legacy airlines in offering fewer seats on competitive routes. To this end, we first use text analytics to build a novel dataset on communication among airlines about their capacity choices. Estimates from our preferred specification show that the number of offered seats is 2 lower when all legacy airlines in a market discuss the concept of “capacity discipline.” We verify that this reduction materializes only when legacy airlines communicate concurrently, and that it cannot be explained by other possibilities, including that airlines are simply announcing to investors their unilateral plans to reduce capacity, and then following through on those announcements.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a3055-3084..htm,10.1093/restud/rdab100
6,Review of Economic Studies,Yogurts Choose Consumers? Estimation of Random-Utility Models via Two-Sided Matching,"['Odran Bonnet', 'Alfred Galichon', 'Yu-Wei Hsieh', 'Keith O’Hara', 'Matt Shum']","2022, vol. 89, issue 6, 3085-3114",[],"Abstract: The problem of demand inversion—a crucial step in the estimation of random utility discrete-choice models—is equivalent to the determination of stable outcomes in two-sided matching models. This equivalence applies to random utility models that are not necessarily additive, smooth, nor even invertible. Based on this equivalence, algorithms for the determination of stable matchings provide effective computational methods for estimating these models. For non-invertible models, the identified set of utility vectors is a lattice, and the matching algorithms recover sharp upper and lower bounds on the utilities. Our matching approach facilitates estimation of models that were previously difficult to estimate, such as the pure characteristics model. An empirical application to voting data from the 1999 European Parliament elections illustrates the good performance of our matching-based demand inversion algorithms in practice.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a3085-3114..htm,10.1093/restud/rdac006
7,Review of Economic Studies,China’s Model of Managing the Financial System,"['Markus K Brunnermeier', 'Michael Sockin', 'Wei Xiong']","2022, vol. 89, issue 6, 3115-3153",[],"Abstract: China’s economic model involves regular and intensive government interventions in financial markets, while Western policymakers often refrain from substantial interventions outside crisis periods. We develop a theoretical framework to rationalize the approaches of both China and the West to managing the financial system as being optimal given the differences in their respective economies. In this framework, a government leans against trading of noise traders but at the expense of introducing policy noise to the market. Our welfare analysis shows that under certain underlying economic conditions, the optimal government policy induces a government-centric equilibrium, in which government intervention is so intensive that all investors choose to acquire private information about policy noise rather than fundamentals. This policy regime characterizes China’s approach with financial stability prioritized over other policy objectives.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a3115-3153..htm,10.1093/restud/rdab098
8,Review of Economic Studies,The Design of Teacher Assignment: Theory and Evidence,"['Julien Combe', 'Olivier Tercieux', 'Camille Terrier']","2022, vol. 89, issue 6, 3154-3222",[],"Abstract: To assign teachers to schools, a modified version of the well-known deferred acceptance mechanism has been proposed in the literature and is used in practice. We show that this mechanism fails to be fair and efficient for both teachers and schools. We identify a class of strategy-proof mechanisms that cannot be improved upon in terms of both efficiency and fairness. Using a rich dataset on teachers’ applications in France, we estimate teachers preferences and perform a counterfactual analysis. The results show that these mechanisms perform much better than the modified version of deferred acceptance. For instance, the number of teachers moving from their positions more than triples under our mechanism.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a3154-3222..htm,10.1093/restud/rdac002
9,Review of Economic Studies,A Theory of Participation in OTC and Centralized Markets,"['Jérôme Dugast', 'Semih Üslü', 'Pierre-Olivier Weill']","2022, vol. 89, issue 6, 3223-3266",[],"Abstract: Should regulators encourage the migration of trade from over-the-counter (OTC) to centralized markets? To address this question, we study a model in which banks make costly decisions to participate in an OTC market, a centralized market, or both markets at the same time. Banks differ in their ability to take large positions, what we call their trading capacity. In equilibrium, intermediate-capacity banks find it optimal to participate in the centralized market. In contrast, low- and high-capacity banks find it optimal to participate in the OTC market, due to an endogenous complementarity. Namely, low-capacity banks receive worse terms of trade than in the centralized market but better risk sharing, thanks to the intermediation services offered by high-capacity banks. High-capacity banks receive worse risk sharing than in the centralized market, but profit from the provision of intermediation services to low-capacity banks. While the social optimum has qualitatively similar participation patterns, it prescribes that more customers migrate to the centralized market, and that more dealers enter the OTC market.",https://econpapers.repec.org/article/ouprestud/v_3a89_3ay_3a2022_3ai_3a6_3ap_3a3223-3266..htm,10.1093/restud/rdac010
