,journal,title,authors,volume,jel,abstract,url,doi
0,Review of Financial Studies,Successful Takeovers without Exclusion,['Barton Lipman'],"1988, vol. 1, issue 1, 89-110",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a1_3ap_3a89-110.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
1,Review of Financial Studies,Inefficient Dynamic Portfolio Strategies or How to Throw Away a Million Dollars in the Stock Market,['Philip Dybvig'],"1988, vol. 1, issue 1, 67-88",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a1_3ap_3a67-88.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
2,Review of Financial Studies,Stock Market Prices do not Follow Random Walks: Evidence from a Simple Specification Test,['Andrew Lo'],"1988, vol. 1, issue 1, 41-66",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a1_3ap_3a41-66.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
3,Review of Financial Studies,A Theory of Intraday Patterns: Volume and Price Variability,['Anat Admati'],"1988, vol. 1, issue 1, 3-40",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a1_3ap_3a3-40.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
4,Review of Financial Studies,A Message from the President of the Society for Financial Studies,['Joseph Williams'],"1988, vol. 1, issue 1, 1-2",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a1_3ap_3a1-2.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
5,Review of Financial Studies,"Residual Risk, Trading Costs, and Commodity Futures Risk Premia",['David Hirshleifer'],"1988, vol. 1, issue 2, 173-193",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a2_3ap_3a173-193.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
6,Review of Financial Studies,"Preferences, Continuity, and the Arbitrage Pricing Theory",['Robert Jarrow'],"1988, vol. 1, issue 2, 159-172",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a2_3ap_3a159-172.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
7,Review of Financial Studies,Index-Futures Arbitrage and the Behavior of Stock Index Futures Prices,['Krishna Ramaswamy'],"1988, vol. 1, issue 2, 137-158",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a2_3ap_3a137-158.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
8,Review of Financial Studies,Shareholder-Manager Conflict and the Information Content of Dividends,['Praveen Kumar'],"1988, vol. 1, issue 2, 111-136",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a2_3ap_3a111-136.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
9,Review of Financial Studies,Book Review: Security Markets: Stochastic Models by Darrell Duffie,['Philip Dybvig'],"1988, vol. 1, issue 3, 329-330",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a3_3ap_3a329-330.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
10,Review of Financial Studies,Spanning and Completeness with Options,['David C. Nachman'],"1988, vol. 1, issue 3, 311-328",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a3_3ap_3a311-328.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
11,Review of Financial Studies,The Demise of the Rights Issue,['Robert Hansen'],"1988, vol. 1, issue 3, 289-309",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a3_3ap_3a289-309.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
12,Review of Financial Studies,A Theory of Negotiated Equity Financing,['Tracy Lewis'],"1988, vol. 1, issue 3, 265-288",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a3_3ap_3a265-288.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
13,Review of Financial Studies,Optimal Security Design,"['Douglas Gale Franklin Allen', 'Franklin Allen', 'Douglas Gale']","1988, vol. 1, issue 3, 229-263",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a3_3ap_3a229-263.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
14,Review of Financial Studies,The Dividend-Price Ratio and Expectations of Future Dividends and Discount Factors,"['Robert J. Shiller John Y. Campbell', 'John Y. Campbell', 'Robert J. Shiller']","1988, vol. 1, issue 3, 195-228",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a3_3ap_3a195-228.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
15,Review of Financial Studies,"Book Review: Finance Theory, by Robert Jarrow",['Michael U. Dothan'],"1988, vol. 1, issue 4, 449-450",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a4_3ap_3a449-450.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
16,Review of Financial Studies,"Book Review: Foundations for Financial Economics, by Chi-fu Huang, Robert H. Litzenberger",['Paul Pfleiderer'],"1988, vol. 1, issue 4, 447-449",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a4_3ap_3a447-449.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
17,Review of Financial Studies,On Jump Processes in the Foreign Exchange and Stock Markets,['Philippe Jorion'],"1988, vol. 1, issue 4, 427-445",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a4_3ap_3a427-445.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
18,Review of Financial Studies,Are Seasonal Anomalies Real? A Ninety-Year Perspective,['Seymour Smidt Josef Lakonishok'],"1988, vol. 1, issue 4, 403-425",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a4_3ap_3a403-425.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
19,Review of Financial Studies,"Nonnegative Wealth, Absence of Arbitrage, and Feasible Consumption Plans",['Philip Dybvig'],"1988, vol. 1, issue 4, 377-401",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a4_3ap_3a377-401.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
20,Review of Financial Studies,Market Trading Structures and Asset Pricing: Evidence from the Treasury- Bill Markets,['Avraham Kamara'],"1988, vol. 1, issue 4, 357-375",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a4_3ap_3a357-375.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
21,Review of Financial Studies,Capital Structure and Signaling Game Equilibria,['Thomas Noe'],"1988, vol. 1, issue 4, 331-355",[],,https://econpapers.repec.org/article/ouprfinst/v_3a1_3ay_3a1988_3ai_3a4_3ap_3a331-355.htm,http://www.jstor.org/fcgi-bin/jstor/listjournal.fcg/08939454
