,DOI,authorId,name,paperCount,citationCount,hIndex
0,10.1257/aer.89.1.1,15640623,R. Fogel,187.0,8464.0,42.0
1,10.1257/aer.89.1.22,145441877,P. Lane,286.0,21893.0,67.0
2,10.1257/aer.89.1.22,104420262,A. Tornell,117.0,8376.0,35.0
3,10.1257/aer.89.1.47,1404696409,Huw Lloyd-Ellis,37.0,1433.0,15.0
4,10.1257/aer.89.1.78,2609822,F. Caselli,102.0,9036.0,26.0
5,10.1257/aer.89.1.78,1901578,Gadi Barlevy,56.0,2582.0,20.0
6,10.1257/aer.89.1.78,2091933074,R. Barro,102.0,28028.0,42.0
7,10.1257/aer.89.1.78,48254282,E. Berman,118.0,10584.0,31.0
8,10.1257/aer.89.1.78,2114731134,Steve Davis,2.0,184.0,1.0
9,10.1257/aer.89.1.78,3090418,Sven E. Feldmann,19.0,612.0,8.0
10,10.1257/aer.89.1.78,2387509,Oded Galor,168.0,26109.0,57.0
11,10.1257/aer.89.1.78,3715338,Z. Griliches,197.0,59980.0,90.0
12,10.1257/aer.89.1.78,145014338,Larry Katz,9.0,528.0,5.0
13,10.1257/aer.89.1.78,11232259,P. Klenow,90.0,16423.0,41.0
14,10.1257/aer.89.1.78,3467819,David I. Laibson,211.0,36051.0,74.0
15,10.1257/aer.89.1.78,145115849,John Leahy,92.0,6302.0,30.0
16,10.1257/aer.89.1.103,1403607956,Ted O’Donoghue,58.0,17186.0,31.0
17,10.1257/aer.89.1.103,145884439,M. Rabin,131.0,35506.0,55.0
18,10.1257/aer.89.1.125,143947522,Yeon-Koo Che,160.0,8655.0,44.0
19,10.1257/aer.89.1.125,103685837,D. Hausch,42.0,1578.0,16.0
20,10.1257/aer.89.1.148,48082129,M. Lettau,81.0,11787.0,36.0
21,10.1257/aer.89.1.148,143980803,H. Uhlig,233.0,15719.0,50.0
22,10.1257/aer.89.1.190,48099037,G. Maggi,47.0,5182.0,25.0
23,10.1257/aer.89.1.215,81791183,K. Bagwell,149.0,11053.0,50.0
24,10.1257/aer.89.1.215,2152987,R. Staiger,161.0,8620.0,47.0
25,10.1257/aer.89.1.249,40963867,J. Galí,177.0,37207.0,59.0
26,10.1257/aer.89.1.272,49681731,C. M. Paul,82.0,2825.0,25.0
27,10.1257/aer.89.1.272,145261008,D. Siegel,282.0,41508.0,77.0
28,10.1257/aer.89.1.291,118966635,A. Corns,2.0,96.0,1.0
29,10.1257/aer.89.1.291,2910342,A. Schotter,193.0,8853.0,46.0
30,10.1257/aer.89.1.306,2211151,Colin Camerer,434.0,81145.0,117.0
31,10.1257/aer.89.1.306,2900489,D. Lovallo,69.0,8145.0,24.0
32,10.1257/aer.89.1.319,65815930,Samuel H. Dinkin,10.0,225.0,4.0
33,10.1257/aer.89.1.319,2418984,V. Smith,559.0,35681.0,89.0
34,10.1257/aer.89.1.325,1925439,J. Kagel,182.0,17024.0,59.0
35,10.1257/aer.89.1.325,1776397,Dan Levin,88.0,7488.0,38.0
36,10.1257/aer.89.1.335,3394925,I. Bohnet,130.0,6753.0,33.0
37,10.1257/aer.89.1.335,144572963,B. Frey,826.0,59169.0,112.0
38,10.1257/aer.89.1.340,144492697,E. Hoffman,99.0,6787.0,20.0
39,10.1257/aer.89.1.340,50110594,K. McCabe,139.0,17192.0,45.0
