DOI,title,authors,abstract,cite,JEL,url,vol,journal
10.1257/jep.1.1.3,Foreword,"['\n         Joseph Stiglitz    ', '\n         Carl Shapiro    ', '\n         Timothy Taylor    ']",N\A,"Stiglitz, Joseph, Carl Shapiro, and Timothy Taylor. 1987. ""Foreword."" Journal of Economic Perspectives, 1 (1): 3-5. DOI: 10.1257/jep.1.1.3",[],https://www.aeaweb.org/articles?id=10.1257/jep.1.1.3,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.7,Symposium on Tax Reform,['\n         Henry J. Aaron    '],"
Abstract
					The papers in this symposium are a representative sample of the diverse views economists hold on the political and economic advantages and disadvantages of the Tax Reform Act of 1986.				","Aaron, Henry J. 1987. ""Symposium on Tax Reform."" Journal of Economic Perspectives, 1 (1): 7-10. DOI: 10.1257/jep.1.1.7","[('323', 'National Taxation, Revenue, and Subsidies')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.7,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.11,Tax Reform: Theory and Practice,['\n         Joseph A. Pechman    '],"
Abstract
					The Tax Reform Act of 1986 is the most significant piece of tax legislation enacted since the income tax was converted to a mass tax during World War II. After decades of erosion, the individual and corporate income tax bases were broadened and the revenues were used to reduce tax rates. Loopholes and preferences that were formerly considered sacrosanct were eliminated or moderated despite the determined opposition of powerful pressure groups. Comprehensive income taxation, which had earlier been regarded as an impossible dream, carried the day with strong bipartisan support. I will trace the origins of the tax reform movement and speculate about why it was successful in 1986 after repeated failures in earlier years. I also explain what the 1986 act accomplished and what more needs to be done to achieve the objectives of comprehensive income taxation.				","Pechman, Joseph A. 1987. ""Tax Reform: Theory and Practice."" Journal of Economic Perspectives, 1 (1): 11-28. DOI: 10.1257/jep.1.1.11","[('323', 'National Taxation, Revenue, and Subsidies')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.11,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.29,Tax Reform as Political Choice,['\n         James M. Buchanan    '],"
Abstract
					Public choice theory explains and interprets politics as the interaction among constituents and agents seeking to advance or to express their own interests. Applied to an observed political event like the 1986 tax reform legislation, any such analysis must identify the effects on separate interests and make some presumption concerning the perception of these effects. The linkage between assigning gains and losses from the 1986 tax changes and explaining these changes depends critically on the model of political choice. Political reality presumably embodies some mix of models of consensus, conflict, and agents' discretion. These three models are examined separately, with features from each retaining some explanatory value.				","Buchanan, James M. 1987. ""Tax Reform as Political Choice."" Journal of Economic Perspectives, 1 (1): 29-35. DOI: 10.1257/jep.1.1.29","[('323', 'National Taxation, Revenue, and Subsidies'), ('025', 'Social Choice Studies: Voting, Committees, etc.')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.29,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.37,Treasury I and the Tax Reform Act of 1986: The Economics and Politics of Tax Reform,"['\n         Charles E. McLure, Jr.    ', '\n         George R. Zodrow    ']","
Abstract
					During President Reagan's State of the Union Address in January 1984, he requested that Treasury Secretary Donald Regan prepare ""a plan for action to simplify the entire tax code so that all taxpayers, big and small, are treated more fairly."" In response, the Department of the Treasury spent ten months preparing a report to the President that has come to be called Treasury I. This three-volume study explained the need for tax reform and the general directions such reform should take, provided a comprehensive set of proposals for reform of the income tax, and analyzed the feasibility and desirability of an American value-added tax. Following almost two years of public debate, the Tax Reform Act of 1986 became law on October 22, 1986. Though widely hailed as the most far-reaching reform of the nation's tax system since the 1940s, the 1986 Act falls far short of the promise of Treasury I. It is useful to devote attention to Treasury I, even though much of it failed to survive the legislative process. First, because Treasury I represented an attempt to formulate a workable tax system that closely approximates the economist's view of an ideal income tax, it is likely to condition future deliberations on tax reform both in the United States and in other countries. Second, the conceptually coherent proposals of Treasury I provide a standard against which to measure the hodge-podge of proposals that became law in the 1986 Act. Finally, a discussion of the decisions underlying Treasury I should prove informative to economists and political scientists interested in the process and substance of tax reform.				","McLure, Jr., Charles E., and George R. Zodrow. 1987. ""Treasury I and the Tax Reform Act of 1986: The Economics and Politics of Tax Reform."" Journal of Economic Perspectives, 1 (1): 37-58. DOI: 10.1257/jep.1.1.37","[('323', 'National Taxation, Revenue, and Subsidies')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.37,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.59,Short of Euphoria,['\n         Richard A. Musgrave    '],"
Abstract
					The Tax Reform Act of 1986 is the most sweeping reform since the early 1940s when the pressures of war finance forced the transformation of the income tax into a mass tax, and made it the core of the federal tax system. Since then many adjustments have been made, but the basic structure of the tax has remained unchanged. Behind this nominal stability, however, a slow erosion of the tax base appears to have been at work. The widening of loopholes and emergence of high-income shelters gained momentum in recent years and undermined the public's faith in the income tax. The compounding of the investment tax credit and accelerated depreciation diluted and distorted the base of the corporation tax. The current reform reverses these trends, a major accomplishment that all reformers will welcome. But the reform is far from complete. Its base broadening goes only part of the way, and though substantial gains have been made, they have not come without a price. The pattern of rate reduction, involving a drastic flattening of bracket rates, signals retreat from the progressive taxation that was an essential feature of the income tax tradition. Further, focus on reform has diverted attention from meeting urgent revenue needs.				","Musgrave, Richard A. 1987. ""Short of Euphoria."" Journal of Economic Perspectives, 1 (1): 59-71. DOI: 10.1257/jep.1.1.59","[('323', 'National Taxation, Revenue, and Subsidies')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.59,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.73,The Tax Reform Act of 1986 and the Cost of Capital,['\n         Alan J. Auerbach    '],"
Abstract
					The broad outlines of the recently passed Tax Reform Act of 1986 suggest a shift in the tax burden toward business. Over the five-year period 1987-1991, corporate tax revenues are projected to increase by $120.3 billion with individual tax revenues declining by $121.9 billion. It is natural to conclude that business investment in plant and equipment will be discouraged by this shift. Yet the relationship between tax revenues and investment incentives is a complicated one, particularly when the change in business tax revenues is accompanied by a major change in the tax structure producing these revenues. This paper's primary aim is to discuss the channels through which this major change in the tax structure will affect the incentives for business investment. Among the related questions discussed are the law's impact on the efficiency of capital allocation; corporate debt-equity ratios; corporate mergers and takeovers; tax shelter activity and the nonpayment of taxes by individuals and corporations; the strength of foreign investment in the United States; and the market value of the equity shares of U.S. corporations.				","Auerbach, Alan J. 1987. ""The Tax Reform Act of 1986 and the Cost of Capital."" Journal of Economic Perspectives, 1 (1): 73-86. DOI: 10.1257/jep.1.1.73","[('323', 'National Taxation, Revenue, and Subsidies'), ('522', 'Business Investment')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.73,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.87,Tax Reform: Implications for the State-Local Public Sector,"['\n         Paul N. Courant    ', '\n         Daniel L. Rubinfeld    ']","
Abstract
					We analyze the effects of the Tax Reform Act of 1986 on the level and distribution of state and local spending, and on the mix of revenue sources employed by state and local governments. We expect state and local spending to fall by between 0.9 percent and 1.9 percent, with the lower end of the range the more plausible. The conclusion that aggregate spending is unlikely to change very much does not imply that the Tax Reform Act is unimportant to the state and local public sector. The fiscal and economic circumstances of state and local governments vary enormously, and the federal tax reform will therefore affect them very differently. The relative fiscal attractiveness of localities within metropolitan areas will be altered. From both efficiency and equity perspectives, these effects on local governments are likely to be much more important than the aggregate effect on either state or local spending. Over the longer run, apart from the obvious incentive to move away from the nondeductible sales tax to other deductible taxes, the effect of tax reform on the mix of revenue instruments is difficult to predict. The new tax bill also has major implications for bond financing as it it limits the use of the tax-exempt bond instrument. 				","Courant, Paul N., and Daniel L. Rubinfeld. 1987. ""Tax Reform: Implications for the State-Local Public Sector."" Journal of Economic Perspectives, 1 (1): 87-100. DOI: 10.1257/jep.1.1.87","[('323', 'National Taxation, Revenue, and Subsidies'), ('324', 'State and Local Government Finance--General')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.87,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.101,Household Behavior and the Tax Reform Act of 1986,"['\n         Jerry A. Hausman    ', '\n         James M. Poterba    ']","
Abstract
					President Reagan's May 1985 letter to Congress, accompanying his tax reform proposal, argued that the existing tax system hindered economic growth because ""most Americans labor under excessively high tax rates that discourage work and cut drastically into savings."" This paper analyzes how the Tax Reform Act of 1986 affects these aspects of household behavior.				","Hausman, Jerry A., and James M. Poterba. 1987. ""Household Behavior and the Tax Reform Act of 1986."" Journal of Economic Perspectives, 1 (1): 101-119. DOI: 10.1257/jep.1.1.101","[('323', 'National Taxation, Revenue, and Subsidies')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.101,"Summer 1987 (Vol. 1, No.1 )",JEP 
10.1257/jep.1.1.121,Choice under Uncertainty: Problems Solved and Unsolved,['\n         Mark J. Machina    '],"
Abstract
					Fifteen years ago, the theory of choice under uncertainty could be considered one of the ""success stories"" of economic analysis: it rested on solid axiomatic foundations, it had seen important breakthroughs in the analytics of risk, risk aversion, and their applications to economic issues, and it stood ready to provide the theoretical underpinnings for the newly emerging ""information revolution"" in economics. Today choice under uncertainty is a field in flux: the standard theory is being challenged on several grounds from both within and outside economics. The nature of these challenges, and of our profession's responses to them, is the topic of this paper.				","Machina, Mark J. 1987. ""Choice under Uncertainty: Problems Solved and Unsolved."" Journal of Economic Perspectives, 1 (1): 121-154. DOI: 10.1257/jep.1.1.121","[('022', 'Microeconomic Theory--Theory of the Household (Consumer Demand'), ('026', 'Theory of Uncertainty and Information')]",https://www.aeaweb.org/articles?id=10.1257/jep.1.1.121,"Summer 1987 (Vol. 1, No.1 )",JEP 
