,journal,title,authors,volume,jel,abstract,url,doi
0,Journal of Finance,Optimal Financial Transaction Taxes,['Eduardo Dávila'],"2023, vol. 78, issue 1, 5-61",[],"Abstract: This paper characterizes the optimal transaction tax in an equilibrium model of financial markets. If investors hold heterogeneous beliefs unrelated to their fundamental trading motives and the planner calculates welfare using any single belief, a positive tax is optimal, regardless of the magnitude of fundamental trading. Under some conditions, the optimal tax is independent of the planner's belief. The optimal tax can be implemented by adjusting its value until total volume equals fundamental volume. Knowledge of (i) the share of nonfundamental trading volume and (ii) the semielasticity of trading volume to tax changes is sufficient to quantify the optimal tax.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a5-61.htm,https://doi.org/10.1111/jofi.13188
1,Journal of Finance,"Less Mainstream Credit, More Payday Borrowing? Evidence from Debt Collection Restrictions",['Julia Fonseca'],"2023, vol. 78, issue 1, 63-103",[],"Abstract: Governments regulate debt collectors to protect consumers from predatory practices. These restrictions may lower repayment, reducing the supply of mainstream credit and increasing demand for alternative credit. Using individual credit record data and a difference‐in‐differences design comparing consumers in states that tighten restrictions on debt collection to those in neighboring states that do not, I find that restricting collections reduces access to mainstream credit and increases payday borrowing. These findings provide new evidence of substitution between alternative and mainstream credit and point to a trade‐off between shielding consumers from certain collection practices and pushing them into higher cost payday lending markets.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a63-103.htm,https://doi.org/10.1111/jofi.13189
2,Journal of Finance,Disruption and Credit Markets,"['Bo Becker', 'Victoria Ivashina']","2023, vol. 78, issue 1, 105-139",[],"Abstract: We show that over the past half‐century, innovative disruptions were central to understanding corporate defaults. In a given year, industries experiencing abnormally high venture capital or initial public offering activity subsequently see higher default rates, higher segment exits by conglomerates, and higher yields on bonds issued by the firms in these industries. Overall, we find that disruption is a broad phenomenon, negatively affecting incumbent firms across the spectrum of age, valuation, and levers, with the exception of very large and low‐leverage firms, in line with our central hypothesis.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a105-139.htm,https://doi.org/10.1111/jofi.13187
3,Journal of Finance,How Risky Are U.S. Corporate Assets?,"['Tetiana Davydiuk', 'Scott Richard', 'Ivan Shaliastovich', 'Amir Yaron']","2023, vol. 78, issue 1, 141-208",[],"Abstract: We use market data on corporate bonds and equities to measure the value of U.S. corporate assets and their payouts to investors. In contrast to equity dividends, total corporate payouts are highly volatile, turn negative when corporations raise capital, and are acyclical. At the same time, corporate asset returns are similar to returns on equity, and both are exposed to fluctuations in economic growth. To reconcile this evidence, we argue that acyclical but volatile net repurchases mask the exposure of total payouts' cash components to economic growth risks. We develop an asset pricing framework to quantitatively illustrate this economic channel.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a141-208.htm,https://doi.org/10.1111/jofi.13196
4,Journal of Finance,International Yield Curves and Currency Puzzles,"['Mikhail Chernov', 'Drew Creal']","2023, vol. 78, issue 1, 209-245",[],"Abstract: The currency depreciation rate is often computed as the ratio of foreign to domestic pricing kernels. Using bond prices alone to estimate these kernels leads to currency puzzles: the inability of models to match violations of uncovered interest parity and the volatility of exchange rates. This happens because of the FX bond disconnect, the inability of bonds to span exchange rates. Incorporating innovations to the pricing kernel that affect exchange rates but not bonds helps resolve the puzzles. This approach also allows one to relate news about cross‐country differences between international yields to news about currency risk premiums.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a209-245.htm,https://doi.org/10.1111/jofi.13191
5,Journal of Finance,Decentralization through Tokenization,"['Michael Sockin', 'Wei Xiong']","2023, vol. 78, issue 1, 247-299",[],"Abstract: We examine decentralization of digital platforms through tokenization as an innovation to resolve the conflict between platforms and users. By delegating control to users, tokenization through utility tokens acts as a commitment device that prevents a platform from exploiting users. This commitment comes at the cost of not having an owner with an equity stake who, in conventional platforms, would subsidize participation to maximize the platform's network effect. This trade‐off makes utility tokens a more appealing funding scheme than equity for platforms with weak fundamentals. The conflict reappears when nonusers, such as token investors and validators, participate on the platform.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a247-299.htm,https://doi.org/10.1111/jofi.13192
6,Journal of Finance,Beyond Basis Basics: Liquidity Demand and Deviations from the Law of One Price,"['Todd M. Hazelkorn', 'Tobias J. Moskowitz', 'Kaushik Vasudevan']","2023, vol. 78, issue 1, 301-345",[],"Abstract: Deviations from the law of one price between futures and spot prices—the futures‐cash basis—capture information about liquidity demand for equity market exposure in global markets. We show that the basis comoves with dealer and investor futures positions, is contemporaneously positively correlated with futures and spot market returns, and negatively predicts futures and spot returns. These findings are consistent with the futures‐cash basis reflecting liquidity demand that is common to futures and cash equity markets. We find persistent supply‐demand imbalances for equity index exposure reflected in the basis, giving rise to an annual premium of 5% to 6%.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a301-345.htm,https://doi.org/10.1111/jofi.13198
7,Journal of Finance,Principal Portfolios,"['Bryan Kelly', 'Semyon Malamud', 'Lasse Heje Pedersen']","2023, vol. 78, issue 1, 347-387",[],"Abstract: We propose a new asset pricing framework in which all securities' signals predict each individual return. While the literature focuses on securities' own‐signal predictability, assuming equal strength across securities, our framework includes cross‐predictability—leading to three main results. First, we derive the optimal strategy in closed form. It consists of eigenvectors of a “prediction matrix,” which we call “principal portfolios.” Second, we decompose the problem into alpha and beta, yielding optimal strategies with, respectively, zero and positive factor exposure. Third, we provide a new test of asset pricing models. Empirically, principal portfolios deliver significant out‐of‐sample alphas to standard factors in several data sets.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a347-387.htm,https://doi.org/10.1111/jofi.13199
8,Journal of Finance,Small Business Equity Returns: Empirical Evidence from the Business Credit Card Securitization Market,"['Matthias Fleckenstein', 'Francis A. Longstaff']","2023, vol. 78, issue 1, 389-425",[],Abstract: We present a new approach for estimating small business equity returns. This approach applies the Merton (1974) credit model to the returns on entrepreneurial business credit card debt securitizations and solves for the implied equity returns for the small businesses owned by the cardholders. The estimated small business equity premium is 10.74%. The standard deviation of small business equity returns is 56.37%. We validate the methodology by applying it to investment‐grade corporate bonds and recovering a public equity premium of 6.17%.,https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a389-425.htm,https://doi.org/10.1111/jofi.13200
9,Journal of Finance,Beliefs Aggregation and Return Predictability,"['Albert S. Kyle', 'Anna A. Obizhaeva', 'Yajun Wang']","2023, vol. 78, issue 1, 427-486",[],"Abstract: We study return predictability using a model of speculative trading among competitive traders who agree to disagree about the precision of private information. Although traders apply Bayes' Law consistently, returns are predictable. In addition to trading on long‐term fundamental value, traders also trade on perceived short‐term opportunities arising from foreseen future disagreement, as in a Keynesian beauty contest. Contradicting conventional wisdom, this short‐term speculation dampens price fluctuations and generates time‐series momentum. Model calibration shows quantitatively realistic patterns of return dynamics. Consistent with empirical evidence, our model predicts more pronounced momentum for stocks with higher trading volume.",https://econpapers.repec.org/article/blajfinan/v_3a78_3ay_3a2023_3ai_3a1_3ap_3a427-486.htm,https://doi.org/10.1111/jofi.13195
