,journal,title,authors,volume,jel,abstract,url,doi
0,Journal of Political Economy,Collective Brand Reputation,"['Volker Nocke', 'Roland Strausz']","2023, vol. 131, issue 1, 1 - 58",[],"Abstract: We develop a theory of collective brand reputation for markets in which product quality is jointly determined by local and global players. In a repeated game of imperfect public monitoring, we model collective branding as an aggregation of quality signals generated in different markets. Such aggregation yields a beneficial informativeness effect for incentivizing the global player. It however also induces harmful free-riding by local, market-specific players. The resulting trade-off yields a theory of optimal brand size and revenue sharing that applies to platform markets, franchising, licensing, umbrella branding, and firms with team production.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720986.htm,http://dx.doi.org/10.1086/720986
1,Journal of Political Economy,The Mechanics of the Industrial Revolution,"['Morgan Kelly', 'Joel Mokyr', 'Cormac Ó Gráda']","2023, vol. 131, issue 1, 59 - 94",[],"Abstract: Although there are many competing explanations for the Industrial Revolution, there has been no effort to evaluate them econometrically. This paper analyzes how the very different patterns of growth across the counties of England between the 1760s and 1830s can be explained by a wide range of potential variables. We find that industrialization occurred in areas that began with low wages but high mechanical skills, whereas other variables, such as literacy, banks, and proximity to coal, have little explanatory power. Against the view that living standards were stagnant during the Industrial Revolution, we find that real wages rose sharply in the industrializing north and declined in the previously prosperous south.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720890.htm,http://dx.doi.org/10.1086/720890
2,Journal of Political Economy,Optimal Cooperative Taxation in the Global Economy,"['V. V. Chari', 'Juan Pablo Nicolini', 'Pedro Teles']","2023, vol. 131, issue 1, 95 - 130",[],"Abstract: How should countries cooperate in setting fiscal and trade policies when government expenditures must be financed with distorting taxes? We show that even if countries cannot make explicit transfers to each other, every point on the Pareto frontier is production efficient, so that international trade and capital flows should be effectively free. Trade agreements must be supplemented with fiscal policy agreements. Residence-based income tax systems have advantages over source-based systems. Taxing all household asset income at a country-specific uniform rate and setting the corporate income tax to zero yield efficient outcomes. Value-added taxes should be adjusted at the border.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720889.htm,http://dx.doi.org/10.1086/720889
3,Journal of Political Economy,Personalized Pricing and Consumer Welfare,"['Jean-Pierre Dubé', 'Sanjog Misra']","2023, vol. 131, issue 1, 131 - 189",[],"Abstract: We study the welfare implications of personalized pricing implemented with machine learning. We use data from a randomized controlled pricing field experiment to construct personalized prices and validate these in the field. We find that unexercised market power increases profit by 55%. Personalization improves expected profits by an additional 19% and by 86% relative to the nonoptimized price. While total consumer surplus declines under personalized pricing, over 60% of consumers benefit from personalization. Under some inequity-averse welfare functions, consumer welfare may even increase. Simulations reveal a nonmonotonic relationship between the granularity of data and consumer surplus under personalization.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720793.htm,http://dx.doi.org/10.1086/720793
4,Journal of Political Economy,A Semistructural Methodology for Policy Counterfactuals,['Martin Beraja'],"2023, vol. 131, issue 1, 190 - 201",[],Abstract: I propose a methodology for constructing counterfactuals with respect to changes in policy rules that does not require fully specifying a particular model yet is not subject to Lucas critique. It applies to a class of dynamic stochastic models whose equilibria are well approximated by a linear representation. It rests on the insight that many such models satisfy a principle of counterfactual equivalence: they are observationally equivalent under a benchmark policy and yield an identical counterfactual equilibrium under an alternative one.,https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720982.htm,http://dx.doi.org/10.1086/720982
5,Journal of Political Economy,Attraction versus Persuasion: Information Provision in Search Markets,"['Pak Hung Au', 'Mark Whitmeyer']","2023, vol. 131, issue 1, 202 - 245",[],"Abstract: We consider a model of oligopolistic competition in a market with search frictions, in which competing firms with products of unknown quality advertise how much information a consumer’s visit will glean. In the unique symmetric equilibrium of this game, the countervailing incentives of attraction and persuasion yield a payoff function for each firm that is linear in the firm’s realized effective value. If the expected quality of the products is sufficiently high (or competition is sufficiently fierce), this corresponds to full information: firms provide the first-best level of information. If not, this corresponds to information dispersion: firms randomize over signals.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720984.htm,http://dx.doi.org/10.1086/720984
6,Journal of Political Economy,The Comparative Advantage of Firms,"['Johannes Boehm', 'Swati Dhingra', 'John Morrow']","2022, vol. 130, issue 12, 3025 - 3100",[],"Abstract: Resource-based theories propose that firms grow by diversifying into products that use common capabilities. We provide evidence for common-input capabilities, using a policy that removed entry barriers in input markets to show that the similarity of a firm’s and an industry’s input mix determines firm production choices. We model industry choice and economies of scope from input capabilities. When the model is estimated for Indian manufacturing, input complementarities make firms 5% more likely to produce in an industry and are quantitatively as important as time-invariant drivers of coproduction rates. Upstream entry barriers were equivalent to a 9.5% tariff on inputs.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720630.htm,http://dx.doi.org/10.1086/720630
7,Journal of Political Economy,Exit versus Voice,"['Eleonora Broccardo', 'Oliver Hart', 'Luigi Zingales']","2022, vol. 130, issue 12, 3101 - 3145",[],"Abstract: We study the relative effectiveness of exit (divestment and boycott) and voice (engagement) strategies in a world where companies generate externalities and some agents care about the social impact of their decisions. We show that if the majority of investors are even slightly socially responsible, voice achieves the socially optimal outcome. In contrast, exit does not unless everybody is significantly socially responsible. If the majority of investors are purely selfish, exit is a more effective strategy, but neither strategy generally achieves the first best. We also show that exit can sometimes reduce social welfare.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720516.htm,http://dx.doi.org/10.1086/720516
8,Journal of Political Economy,Asset Management Contracts and Equilibrium Prices,"['Andrea M. Buffa', 'Dimitri Vayanos', 'Paul Woolley']","2022, vol. 130, issue 12, 3146 - 3201",[],"Abstract: We model asset management as a continuum between active and passive: managers can deviate from benchmark indices to exploit noise trader–induced distortions, but agency frictions constrain these deviations. Because constraints force managers to buy assets that they underweight when these assets appreciate, overvalued assets have high volatility, and the risk-return relationship becomes inverted. Distortions are more severe for overvalued assets than for undervalued ones because trading against the former entails more risk and tighter constraints. We provide empirical evidence supporting our model’s main mechanisms. Using the data, we infer the constraints’ tightness and compute a measure of effective arbitrage capital.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720515.htm,http://dx.doi.org/10.1086/720515
9,Journal of Political Economy,Vertical Contracts with Endogenous Product Selection: An Empirical Analysis of Vendor Allowance Contracts,['Sylvia Hristakeva'],"2022, vol. 130, issue 12, 3202 - 3252",[],"Abstract: Producers frequently provide retailers with financial incentives to secure product distribution. These payments often take the form of vendor allowances: lump-sum transfers to retailers that do not directly depend on quantity sold. I introduce an estimation strategy that uses observed product selections to inform unobserved allowances. I use retailers’ replacement threats, which may allow them to capture both vendor transfers and lower wholesale prices. A counterfactual restricts firms to contract on only wholesale prices. Results show that vendor allowances may have not only (negative) product distortion effects but also (potentially positive) pricing effects.",https://econpapers.repec.org/article/ucpjpolec/doi_3a10.1086_2f720631.htm,http://dx.doi.org/10.1086/720631
