,journal,title,authors,abstract,cite,JEL,url,vol,doi,year
0,Journal of Development Economics,Exhaustive or exhausting? Evidence on respondent fatigue in long surveys,"['Jeong, Dahyeon', 'Aggarwal, Shilpa', 'Robinson, Jonathan', 'Kumar, Naresh', 'Spearot, Alan', 'Park, David Sungho']","Living standards measurement surveys require sustained attention for several hours. We quantify survey fatigue by randomizing the order of questions in 2–3 hour-long in-person surveys. An additional hour of survey time increases the probability that a respondent skips a question by 10%–64%. Because skips are more common, the total monetary value of aggregated categories such as assets or expenditures declines as the survey goes on, and this effect is sizeable for some categories: for example, an extra hour of survey time lowers food expenditures by 25%. We find similar effect sizes within phone surveys in which respondents were already familiar with questions, suggesting that cognitive burden may be a key driver of survey fatigue.","Jeong, Dahyeon & Aggarwal, Shilpa & Robinson, Jonathan & Kumar, Naresh & Spearot, Alan & Park, David Sungho, 2023. ""Exhaustive or exhausting? Evidence on respondent fatigue in long surveys,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001341.html,161(C)., 10.1016/j.jdeveco.2022.102992,2023
1,Journal of Development Economics,Irrigation and the spatial pattern of local economic development in India,"['Blakeslee, David', 'Dar, Aaditya', 'Fishman, Ram', 'Malik, Samreen', 'Pellegrina, Heitor S.', 'Bagavathinathan, Karan Singh']","We study the long-term impact of large-scale irrigation infrastructure on the composition of local economic activity in India. Our analysis uses high-resolution spatial data covering approximately 150,000 villages and towns and exploits spatial discontinuities in the coverage of irrigation projects. Irrigation increases agricultural output, wealth, and population density in rural villages. However, in towns it reduces population and nightlight density, the size of the non-agricultural sector, and large-firm activity. These results highlight the heterogeneous impacts that agricultural productivity gains can have on the patterns local economic development.","Blakeslee, David & Dar, Aaditya & Fishman, Ram & Malik, Samreen & Pellegrina, Heitor S. & Bagavathinathan, Karan Singh, 2023. ""Irrigation and the spatial pattern of local economic development in India,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001390.html,161(C)., 10.1016/j.jdeveco.2022.102997,2023
2,Journal of Development Economics,No bulls: Experimental evidence on the impact of veterinarian ratings in Pakistan,"['Hasanain, Syed Ali', 'Khan, Muhammad Yasir', 'Rezaee, Arman']","We implement a platform to crowdsource information about service provision quality and prices charged and reveal this information to consumers in a market – artificial insemination of livestock in Punjab, Pakistan – where individual signals of quality are noisy. We measure the impact of this information revelation using a randomized controlled trial. Farmers receiving information enjoy 25% higher insemination success and no higher prices than controls. These effects are due to existing veterinarians increasing effort, rather than farmers switching to possibly higher-quality providers. These results illustrate the viability of information clearinghouses successfully aggregating information in low-capacity markets. They also suggest the importance of doing so by implying large welfare benefits from our low-cost information intervention.","Hasanain, Syed Ali & Khan, Muhammad Yasir & Rezaee, Arman, 2023. ""No bulls: Experimental evidence on the impact of veterinarian ratings in Pakistan,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001419.html,161(C)., 10.1016/j.jdeveco.2022.102999,2023
3,Journal of Development Economics,Subjective risk belief function in the field: Evidence from cooking fuel choices and health in India,"['Yokoo, Hide-Fumi', 'Arimura, Toshi H.', 'Chattopadhyay, Mriduchhanda', 'Katayama, Hajime']","We investigate the accuracy of the perceptions of health risks in India. The context of our study is the risk of developing physical symptoms related to household air pollution caused by cooking. Using field data collected from 588 respondents in 17 villages in West Bengal, we regress the probability of symptoms on fuel choices to predict respondent-specific health risk changes. The estimated risks, which we treat as objective risks, are then compared with the corresponding subjective probabilistic beliefs, which are elicited by an interactive method with visual aids. Our results show that, on average, the respondents slightly underestimate the change in risk when switching from cooking with firewood to cooking with liquefied petroleum gas, even though their beliefs are qualitatively correct. The results further show that risk misperception is associated only with religion among individuals’ observed characteristics, suggesting that their unobserved characteristics play a substantial role in risk misperception.","Yokoo, Hide-Fumi & Arimura, Toshi H. & Chattopadhyay, Mriduchhanda & Katayama, Hajime, 2023. ""Subjective risk belief function in the field: Evidence from cooking fuel choices and health in India,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001420.html,161(C)., 10.1016/j.jdeveco.2022.103000,2023
4,Journal of Development Economics,"Rethinking the Lebanese economic miracle: The extreme concentration of income and wealth in Lebanon, 2005–2014","['Assouad, Lydia']","I combine household surveys, national accounts and unique personal income tax records to produce the first estimates of the national income distribution in an Arab country, Lebanon. I find that income is extremely concentrated over the 2005–2014 period: The top 1 and 10 percent of the adult population received almost 25 and 55 percent of national income on average, placing Lebanon among the countries with the highest levels of income inequality in the world. These results challenge a long lasting narrative according to which inequality levels are not that high in the Middle East. They also confirm results from a large literature that emphasizes how the Lebanese sectarian-based mode of governance has allowed the ruling elite to extract large rents for decades and at the expense of the majority of citizens.","Assouad, Lydia, 2023. ""Rethinking the Lebanese economic miracle: The extreme concentration of income and wealth in Lebanon, 2005–2014,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001456.html,161(C)., 10.1016/j.jdeveco.2022.103003,2023
5,Journal of Development Economics,Measuring remittances,"['De Arcangelis, Giuseppe', 'Fertig, Alexander', 'Liang, Yuna', 'Srouji, Peter', 'Yang, Dean']","Remittances received by households from international migrants are of interest in an increasing number of microeconomic analyses. Making use of novel data, we measure misreporting of remittances sent by migrants in the United Arab Emirates (UAE) to remittance recipients in the Philippines. We obtained administrative transaction data from a sample of Filipino migrants who were clients of a popular money transfer operator (MTO). We then surveyed these migrants as well as their primary remittance recipients about the same remittance flows. Migrant-reported remittances are only 6% lower than MTO administrative records, and we cannot reject their equality. A custom smartphone app designed to facilitate migrant remittance reporting does not help raise reporting accuracy. Recipient-reported remittances are 23% lower than migrant reports on average. Recipients under-report even more when they receive remittances less frequently and when remittances make up a lower share of household income.","De Arcangelis, Giuseppe & Fertig, Alexander & Liang, Yuna & Srouji, Peter & Yang, Dean, 2023. ""Measuring remittances,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001468.html,161(C)., 10.1016/j.jdeveco.2022.103004,2023
6,Journal of Development Economics,Tax revenue and mobile money in developing countries,"['Apeti, Ablam Estel', 'Edoh, Eyah Denise']","This paper analyzes the effect of mobile money adoption on tax revenue performance in a large sample of 104 developing countries over the period 1990–2019. Estimations, based on the entropy balancing method, show that mobile money significantly increases tax revenue in mobile money countries relative to non-mobile money countries. This result remains robust to various robustness tests and may depend on time perspective, the type of mobile money service, and some structural factors, including a country's level of development, corruption level, rural population size, inflation rate, education level, tax revenue sample 25th percentile and average, revenue administration efficiency, and mature markets. A first level of disaggregation of tax revenue into direct and indirect tax revenue shows that mobile money increases both types of tax revenue, with a larger impact on direct tax revenue. A second level of disaggregation of these two components into different sub-categories shows that the effect on direct tax revenue is driven by personal income tax revenue and corporate income tax revenue and that on indirect tax revenue is determined by taxes on goods and services. Finally, a broadening tax base (proxied by GDP per capita), better institutional quality, and tax payment process simplification are the main channels through which mobile money adoption increases tax performance in developing countries.","Apeti, Ablam Estel & Edoh, Eyah Denise, 2023. ""Tax revenue and mobile money in developing countries,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001560.html,161(C)., 10.1016/j.jdeveco.2022.103014,2023
7,Journal of Development Economics,Military investment and the rise of industrial clusters: Evidence from China’s self-strengthening movement,"['Bo, Shiyu', 'Liu, Cong', 'Zhou, Yan']","This paper investigates the short- and long-term impact of large-scale military investment on civilian industrial growth by focusing on China’s first attempt to modernize its military sector between 1861 and 1894. Panel data from 1858 to 1937 suggest that the program generated positive effects on civilian firm entry, but these effects appeared only after the government relaxed constraints on the entry of private firms. Long-term analysis shows that counties that received more military investment through the program, driven by plausibly exogenous ex ante political connections, had greater output in civilian industries in the 1930s. Analysis of the mechanisms suggest that the program boosted local economies through input–output linkages, human capital accumulation, and the rise of modern banks.","Bo, Shiyu & Liu, Cong & Zhou, Yan, 2023. ""Military investment and the rise of industrial clusters: Evidence from China’s self-strengthening movement,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001572.html,161(C)., 10.1016/j.jdeveco.2022.103015,2023
8,Journal of Development Economics,Program targeting with machine learning and mobile phone data: Evidence from an anti-poverty intervention in Afghanistan,"['Aiken, Emily L.', 'Bedoya, Guadalupe', 'Blumenstock, Joshua E.', 'Coville, Aidan']","Can mobile phone data improve program targeting? By combining rich survey data from a “big push” anti-poverty program in Afghanistan with detailed mobile phone logs from program beneficiaries, we study the extent to which machine learning methods can accurately differentiate ultra-poor households eligible for program benefits from ineligible households. We show that machine learning methods leveraging mobile phone data can identify ultra-poor households nearly as accurately as survey-based measures of consumption and wealth; and that combining survey-based measures with mobile phone data produces classifications more accurate than those based on a single data source.","Aiken, Emily L. & Bedoya, Guadalupe & Blumenstock, Joshua E. & Coville, Aidan, 2023. ""Program targeting with machine learning and mobile phone data: Evidence from an anti-poverty intervention in Afghanistan,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001584.html,161(C)., 10.1016/j.jdeveco.2022.103016,2023
9,Journal of Development Economics,Delivery times in international competition: An empirical investigation,"['Ciani, Andrea', 'Mau, Karsten']","This paper investigates the role of timely delivery in international competition. Using a demand-side, industry-specific measure of time-sensitivity, we assess the effect of Chinese competition on the export performance of Eastern European transition economies into Western European (EU15) destination-product markets. Our empirical analysis relies on exploiting the increase of Chinese competition in global markets during the first decade of the 2000s. We find evidence of heterogeneous adjustments to Chinese competition among Eastern European exporters due to the differential importance of timely delivery across sectors (i.e. time-sensitivity). While we observe sizable real displacement effects, they appear to be at least 50 percent smaller for time-sensitive exports. Relying on firm-level customs data, we establish that this mechanism also plays a role for responses to Chinese competition within firms.","Ciani, Andrea & Mau, Karsten, 2023. ""Delivery times in international competition: An empirical investigation,"" Journal of Development Economics, Elsevier, vol. 161(C).",N\A,https://ideas.repec.org/a/eee/deveco/v161y2023ics0304387822001596.html,161(C)., 10.1016/j.jdeveco.2022.103017,2023
