,journal,title,authors,abstract,cite,JEL,url,vol,doi,year
0,Journal of Economic Literature,The Limits of the Commune: A Review of The Mystery of the Kibbutz,['John V. C. Nye'],"Ran Abramitzky's book, The Mystery of the Kibbutz: Egalitarian Principles in a Capitalist World, tries to answer the questions of why the communal kibbutz worked so well in Israel's formative years and what limits its current success in modern Israel. Initial ideological commitment and the special circumstances of Israel's founding led to unusual success when combined with well-thought-out rules on behavior and entry. Over time, the commitment to socialistic income sharing has not worked so well, given modern technology and global commerce. The author links up these ideas to the broader issue of organizational structure but misses out on some opportunities to test the ideas further.","John V. C. Nye, 2020. ""The Limits of the Commune: A Review of The Mystery of the Kibbutz,"" Journal of Economic Literature, American Economic Association, vol. 58(2), pages 488-497, June.",N\A,https://ideas.repec.org/a/aea/jeclit/v58y2020i2p488-97.html,"58(2), pages 488-497, June.", 10.1257/jel.20191523,2020
1,Journal of Economic Literature,Gorbachev versus Deng: A Review of Chris Miller's The Struggle to Save the Soviet Economy,['Sergei Guriev'],"Chris Miller's book is a historian's account of Mikhail Gorbachev's efforts to save the Soviet economy. Miller focuses on the question of why Gorbachev did not follow Deng Xiaoping and did not manage to reform the economy. Miller argues that it was not for the lack of understanding (Gorbachev did invest in learning China's approach to reform and did understand it well), nor for the lack of trying. In fact, Gorbachev did try to implement Deng's agricultural and industrial enterprise reforms. However, Gorbachev's reforms were blocked by powerful vested interests. An inability to tackle the agricultural and industrial lobbies eventually resulted in the bankruptcy and collapse of the Soviet Union. While I generally agree with the political economy argument, I discuss a number of alternative explanations. I also discuss sources of Gorbachev's weak state capacity and offer an evaluation of Gorbachev's and post-Gorbachev reform efforts and mistakes based on the political economy research carried out in the last twenty-five years.","Sergei Guriev, 2019. ""Gorbachev versus Deng: A Review of Chris Miller's The Struggle to Save the Soviet Economy,"" Journal of Economic Literature, American Economic Association, vol. 57(1), pages 120-146, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v57y2019i1p120-46.html,"57(1), pages 120-146, March.", 10.1257/jel.20171470,2019
2,Journal of Economic Literature,A Review Essay about Foundations of Neuroeconomic Analysis by Paul Glimcher,['Colin F. Camerer'],"Neuroeconomics aims to discover mechanisms of economic decision, and express them mathematically, to predict observed choice. While the contents of neuroeconomic models and evidence are obviously different than in traditional economics, (some of the) goals are identical: to explain and predict choice, the effects of comparative statics, and perhaps make interesting new welfare judgments that are defensible. To this end, Paul Glimcher's important book carefully describes how economics, psychological, and neural levels of explanation can be linked (a structure which has been successful in visual neuroscience). As Glimcher shows, the neural evidence is quite strong for a process of learning valuations through prediction error, and a simple model of neural valuation and comparison that corresponds to random utility (though subject to normalization, which produces menu effects). There is also rapidly growing evidence for more complicated constructs in behavioral economics, including prospect theory's account of risky choice, hyperbolic time discounting, level-k models of games, and social preferences corresponding to internal reward based on what happens to other agents.","Colin F. Camerer, 2013. ""A Review Essay about Foundations of Neuroeconomic Analysis by Paul Glimcher,"" Journal of Economic Literature, American Economic Association, vol. 51(4), pages 1155-1182, December.",N\A,https://ideas.repec.org/a/aea/jeclit/v51y2013i4p1155-82.html,"51(4), pages 1155-1182, December.", 10.1257/jel.51.4.1155,2013
3,Journal of Economic Literature,"Structural Models of Nonequilibrium Strategic Thinking: Theory, Evidence, and Applications","['Vincent P. Crawford', 'Miguel A. Costa-Gomes', 'Nagore Iriberri']","Most applications of game theory assume equilibrium, justified by presuming either that learning will have converged to one, or that equilibrium approximates people's strategic thinking even when a learning justification is implausible. Yet several recent experimental and empirical studies suggest that people's initial responses to games often deviate systematically from equilibrium, and that structural nonequilibrium ""level-k"" or ""cognitive hierarchy"" models often out-predict equilibrium. Even when learning is possible and converges to equilibrium, such models allow better predictions of history-dependent limiting outcomes. This paper surveys recent theory and evidence on strategic thinking and illustrates the applications of level-k models in economics. (JEL C70, D03, D82, D83)","Vincent P. Crawford & Miguel A. Costa-Gomes & Nagore Iriberri, 2013. ""Structural Models of Nonequilibrium Strategic Thinking: Theory, Evidence, and Applications,"" Journal of Economic Literature, American Economic Association, vol. 51(1), pages 5-62, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v51y2013i1p5-62.html,"51(1), pages 5-62, March.", 10.1257/jel.51.1.5,2013
4,Journal of Economic Literature,Home Bias in Open Economy Financial Macroeconomics,"['Nicolas Coeurdacier', 'Hélène Rey']","Home bias is a perennial feature of international capital markets. We review various explanations of this puzzling phenomenon highlighting recent developments in macroeconomic modeling that incorporate international portfolio choices in standard twocountry general equilibrium models. We refer to this new literature as Open Economy Financial Macroeconomics. We focus on three broad classes of explanations: (i) hedging motives in frictionless financial markets (real exchange rate and nontradable income risk), (ii) asset trade costs in international financial markets (such as transaction costs or differences in tax treatments between national and foreign assets), and (iii) informational frictions and behavioral biases. Recent theories call for new portfolio facts beyond equity home bias. We present new evidence on cross-border asset holdings across different types of assets: equities, bonds and bank lending and new micro data on institutional holdings of equity at the fund level. These data should inform macroeconomic modeling of the open economy and a growing literature of models of delegated investment. (JEL E13, F41, G11, G12, G15)","Nicolas Coeurdacier & Hélène Rey, 2013. ""Home Bias in Open Economy Financial Macroeconomics,"" Journal of Economic Literature, American Economic Association, vol. 51(1), pages 63-115, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v51y2013i1p63-115.html,"51(1), pages 63-115, March.", 10.1257/jel.51.1.63,2013
5,Journal of Economic Literature,On Economics: A Review of Why Nations Fail by D. Acemoglu and J. Robinson and Pillars of Prosperity by T. Besley and T. Persson,['W. Bentley MacLeod'],"The purpose of this essay is to review the books Why Nations Fail by Daron Acemoglu and James Robinson, and Pillars of Prosperity by Timothy Besley and Torsten Persson. The essay briefly discusses the main contributions of the books and the role of politics for economic performance. The review then discusses these contributions in the light of recent research on organizational economics, particularly the modern theory of the firm. (JEL D23, D72, O10, O47, O57)","W. Bentley MacLeod, 2013. ""On Economics: A Review of Why Nations Fail by D. Acemoglu and J. Robinson and Pillars of Prosperity by T. Besley and T. Persson,"" Journal of Economic Literature, American Economic Association, vol. 51(1), pages 116-143, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v51y2013i1p116-43.html,"51(1), pages 116-143, March.", 10.1257/jel.51.1.116,2013
6,Journal of Economic Literature,Six Decades of Top Economics Publishing: Who and How?,['Daniel S. Hamermesh'],"Presenting data on all full-length articles in the three top general economics journals for one year in each decade 1960s-2010s, I analyze changes in patterns of coauthorship, age structure and methodology, and their possible causes. The distribution of number of authors has shifted steadily rightward. In the last two decades, the fraction of older authors has almost quadrupled. Top journals are publishing many fewer papers that represent pure theory, regardless of subfield, somewhat less empirical work based on publicly available data sets, and many more empirical studies based on data collected by the author(s) or on laboratory or field experiments. (JEL A14)","Daniel S. Hamermesh, 2013. ""Six Decades of Top Economics Publishing: Who and How?,"" Journal of Economic Literature, American Economic Association, vol. 51(1), pages 162-172, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v51y2013i1p162-72.html,"51(1), pages 162-172, March.", 10.1257/jel.51.1.162,2013
7,Journal of Economic Literature,Uncertainty Measures for Economics Journal Impact Factors,['David I. Stern'],"Academic economists appear to be intensely interested in rankings of journals, institutions, and individuals. Yet there is little discussion of the uncertainty associated with these rankings. To illustrate the uncertainty associated with citations-based rankings, I compute the standard error of the impact factor for all economics journals with a five-year impact factor in the 2011 Journal Citations Report . I use these to derive confidence intervals for the impact factors as well as ranges of possible rank for a subset of thirty journals. I find that the impact factors of the top two journals are well defined and set these journals apart in a clearly defined group. An elite group of 9-11 mainstream journals can also be fairly reliably distinguished. The four bottom ranked journals are also fairly clearly set apart. For the remainder of the distribution, confidence intervals overlap and rankings are quite uncertain. (JEL A14)","David I. Stern, 2013. ""Uncertainty Measures for Economics Journal Impact Factors,"" Journal of Economic Literature, American Economic Association, vol. 51(1), pages 173-189, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v51y2013i1p173-89.html,"51(1), pages 173-189, March.", 10.1257/jel.51.1.173,2013
8,Journal of Economic Literature,Racial Discrimination in the Labor Market: Theory and Empirics,"['Kevin Lang', 'Jee-Yeon K. Lehmann']","We review theories of race discrimination in the labor market. Taste-based models can generate wage and unemployment duration differentials when combined with either random or directed search even when strong prejudice is not widespread, but no existing model explains the unemployment rate differential. Models of statistical discrimination based on differential observability of productivity across races can explain the pattern and magnitudes of wage differentials but do not address employment and unemployment. At their current state of development, models of statistical discrimination based on rational stereotypes have little empirical content. It is plausible that models combining elements of the search models with statistical discrimination could fit the data. We suggest possible avenues to be pursued and comment briefly on the implication of existing theory for public policy. (JEL J15, J31, J64, J71)","Kevin Lang & Jee-Yeon K. Lehmann, 2012. ""Racial Discrimination in the Labor Market: Theory and Empirics,"" Journal of Economic Literature, American Economic Association, vol. 50(4), pages 959-1006, December.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i4p959-1006.html,"50(4), pages 959-1006, December.", 10.1257/jel.50.4.959,2012
9,Journal of Economic Literature,Analyzing the Spectrum of Asset Returns: Jump and Volatility Components in High Frequency Data,"['Yacine Aït-Sahalia', 'Jean Jacod']","This paper reports some of the recent developments in the econometric analysis of semimartingales estimated using high frequency financial returns. It describes a simple yet powerful methodology to decompose asset returns sampled at high frequency into their base components (continuous, small jumps, large jumps), determine the relative magnitude of the components, and analyze the finer characteristics of these components such as the degree of activity of the jumps. We incorporate to effect of market microstructure noise on the test statistics, apply the methodology to high frequency individual stock returns, transactions and quotes, stock index returns and compare the qualitative features of the estimated process for these different data and discuss the economic implications of the results.( JEL C58, G12, G13)","Yacine Aït-Sahalia & Jean Jacod, 2012. ""Analyzing the Spectrum of Asset Returns: Jump and Volatility Components in High Frequency Data,"" Journal of Economic Literature, American Economic Association, vol. 50(4), pages 1007-1050, December.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i4p1007-50.html,"50(4), pages 1007-1050, December.", 10.1257/jel.50.4.1007,2012
