,journal,title,authors,abstract,cite,JEL,url,vol,doi,year
0,Journal of Public Economic Theory,Social welfare and the unrepresentative representative consumer,['Michael Jerison'],"If, for all prices, income distribution is optimal for a planner with a social welfare function, then aggregate demand is the same as that of a single “representative consumer” whose preferences over aggregate consumption are the same as the planner's. This paper shows that the converse is false. Aggregate demand may be the demand function of a representative consumer although the income distribution is not optimal for any social welfare function. The representative consumer may be Pareto inconsistent, preferring situation A to B when all the actual consumers prefer B to A. We give conditions under which existence of a representative consumer implies that the income distribution satisfies first order conditions for optimality. Satisfying the first order optimality conditions for an additively separable social welfare function is essentially equivalent to aggregate demand for every pair of consumers having a symmetric Slutsky matrix.","Michael Jerison, 2023. ""Social welfare and the unrepresentative representative consumer,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 25(1), pages 5-28, February.",N\A,https://ideas.repec.org/a/bla/jpbect/v25y2023i1p5-28.html,"25(1), pages 5-28, February.", 10.1111/jpet.12629,2023
1,Journal of Public Economic Theory,International coordination of debt rules with time‐inconsistent voters,"['Ryo Arawatari', 'Tetsuo Ono']","In this study, we investigate the international coordination of debt rules in an economy consisting of several countries with varying degrees of present bias. A case wherein each country sets its own uncoordinated debt rules is compared with a case wherein all countries have common coordinated debt rules. Countries with weak present‐biased preferences increase their debt issuance and suffer from welfare losses by participating in coordination. In contrast, countries with strong present‐biased preferences reduce their debt issuance and can enjoy welfare improvement by participating in coordination. The contrasting results suggest the possibility that countries with weak present‐biased preferences have little incentive to follow the coordinated rule.","Ryo Arawatari & Tetsuo Ono, 2023. ""International coordination of debt rules with time‐inconsistent voters,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 25(1), pages 29-60, February.",N\A,https://ideas.repec.org/a/bla/jpbect/v25y2023i1p29-60.html,"25(1), pages 29-60, February.", 10.1111/jpet.12577,2023
2,Journal of Public Economic Theory,Elimination contests with collusive team players,"['Bo Chen', 'Shanlin Jin']","We consider a standard two‐stage elimination (Tullock) contest where multiple (team) players can perfectly and publicly collude with each other throughout. We analyze and compare equilibrium outcomes under various seedings where the collusive players meet or are separated in the group stage. We identify the impact of collusion on the contest organizer and non‐collusive players, as well as the organizer's optimal seeding. We find that collusion, while always undermining fairness of the competition, can hurt or benefit the organizer, depending on the discriminatory powers of the two stages. We also discuss issues such as sequential group‐stage competitions, comparison between the elimination contest and the corresponding one‐shot contest, secret collusion, and large discriminatory powers.","Bo Chen & Shanlin Jin, 2023. ""Elimination contests with collusive team players,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 25(1), pages 61-89, February.",N\A,https://ideas.repec.org/a/bla/jpbect/v25y2023i1p61-89.html,"25(1), pages 61-89, February.", 10.1111/jpet.12600,2023
3,Journal of Public Economic Theory,"Externalities, entry bias, and optimal subsidy policy for cleaner environment","['Rupayan Pal', 'Marcella Scrimitore', 'Ruichao Song']","This paper analyses alternative subsidy schemes and long‐run entry bias in a new industry that creates positive environmental externalities (both generation externalities and externalities associated with interindustry technology spillovers). It demonstrates that per‐unit subsidy scheme, despite attracting fewer firms, results in higher industry output and economic surplus in the equilibrium compared with the expenditure equivalent lump‐sum subsidy scheme. However, the later leads to higher total surplus, unless spillover externalities are sufficiently small. Further, the free‐entry equilibrium number of firms may be excessive or insufficient. A key finding of this paper is that the first‐best equilibrium outcome can be implemented through a unique combination of per‐unit subsidy and lump‐sum subsidy/tax, which involves positive government expenditure in the presence of positive externalities.","Rupayan Pal & Marcella Scrimitore & Ruichao Song, 2023. ""Externalities, entry bias, and optimal subsidy policy for cleaner environment,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 25(1), pages 90-122, February.",N\A,https://ideas.repec.org/a/bla/jpbect/v25y2023i1p90-122.html,"25(1), pages 90-122, February.", 10.1111/jpet.12612,2023
4,Journal of Public Economic Theory,Assignment maximization,"['Mustafa Oğuz Afacan', 'Inácio Bó', 'Bertan Turhan']",We evaluate the goal of maximizing the number of individuals matched to acceptable outcomes. We present two mechanisms that maximize assignments. The first is Pareto efficient and undominated—in terms of the number of assignments—in equilibrium. The second is fair for unassigned agents and assigns weakly more agents than any stable mechanism in equilibrium.,"Mustafa Oğuz Afacan & Inácio Bó & Bertan Turhan, 2023. ""Assignment maximization,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 25(1), pages 123-138, February.",N\A,https://ideas.repec.org/a/bla/jpbect/v25y2023i1p123-138.html,"25(1), pages 123-138, February.", 10.1111/jpet.12602,2023
5,Journal of Public Economic Theory,Endogenous capital stock and depreciation in the United States,"['F. J. Escribá‐Pérez', 'M. J. Murgui‐García', 'J. R. Ruiz‐Tamarit']","There are several puzzles and unresolved problems in empirical economics that depend on the reliability of capital series. Productivity paradoxes, and certain recent trends in the US macroeconomic data, cannot be addressed correctly with the available standard measures of capital stock. Our paper contributes to the theory of capital by endogenizing capacity utilization and depreciation in an intertemporal optimization model with adjustment and maintenance costs. This model allows for corporate taxation and identifies the impact on the variables that shape the capital accumulation process. Depreciation is a control variable that is no longer assumed proportional to the capital stock. The model provides a system of equations that we run empirically with a data set of the US economy for the period 1960–2016. We obtain an empirical measure of the depreciation rate and the capital stock based on profitability and market values. They are economic estimations that consider the entire capital deterioration and obsolescence. Aggregate capital stock is a key variable in the description of the economy, and our results, which better fit the foundations of economic theory, can provide policymakers with a good understanding of the field in which specific public policy measures are to be implemented.","F. J. Escribá‐Pérez & M. J. Murgui‐García & J. R. Ruiz‐Tamarit, 2023. ""Endogenous capital stock and depreciation in the United States,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 25(1), pages 139-167, February.",N\A,https://ideas.repec.org/a/bla/jpbect/v25y2023i1p139-167.html,"25(1), pages 139-167, February.", 10.1111/jpet.12582,2023
6,Journal of Public Economic Theory,"Capital depreciation allowances, redistributive taxation, and economic growth",['Günther Rehme'],"Are capital depreciation allowances when coupled with capital income taxes good instruments for redistribution in the long run? In a simple two‐agent‐economy I find that accelerated depreciation is good for growth, but bad for redistribution. The opposite holds for capital income taxes. However, in a feedback Stackelberg equilibrium, where the government is the leader and the private sector the follower, the depreciation allowance is maximal in the long run, time‐consistent optimum. This removes the accumulation distortion of capital income taxes. Furthermore, the latter, and so redistribution, is found to be generically nonzero in the time‐consistent optimum, and depends on the social weight of transfers receivers, the pretax factor income distribution, the intertemporal elasticity of substitution and the time preference rate. Thus, accelerated depreciation allowances are an important indirect tool for redistribution. The tax scheme allows for a separation of “efficiency” and “equity” concerns for redistributive policies.","Günther Rehme, 2023. ""Capital depreciation allowances, redistributive taxation, and economic growth,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 25(1), pages 168-195, February.",N\A,https://ideas.repec.org/a/bla/jpbect/v25y2023i1p168-195.html,"25(1), pages 168-195, February.", 10.1111/jpet.12603,2023
7,Journal of Public Economic Theory,Internal debt and welfare,['Zarko Y. Kalamov'],"This paper analyzes how multinational firms' internal debt financing affects high‐tax countries. It uses a dynamic small open economy model and takes into account that internal debt impacts both the multinational firms' investment decisions and the government's tax policy. The government has incentives to redistribute income from firm owners to workers. If the government's redistributive motive is not too strong, internal debt reduces welfare in the short term by decreasing tax revenues. However, debt financing stimulates capital accumulation and exerts a positive long‐term welfare impact.","Zarko Y. Kalamov, 2023. ""Internal debt and welfare,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 25(1), pages 196-224, February.",N\A,https://ideas.repec.org/a/bla/jpbect/v25y2023i1p196-224.html,"25(1), pages 196-224, February.", 10.1111/jpet.12567,2023
8,Journal of Public Economic Theory,"Labor‐eliminating technology, wage inequality, and trade protectionism","['John Gilbert', 'Onur A. Koska', 'Reza Oladi']","Rapid automation in manufacturing has raised pressing questions in public and policy discourse regarding the effects of labor‐eliminating technical progress in an industry. We address the implications of a labor‐eliminating technology adopted in manufacturing for factor price changes, the skilled–unskilled wage gap, and for trade policies intended to protect workers. Using an otherwise traditional multisector general equilibrium model, we derive the conditions under which a labor‐eliminating technology will be adopted in manufacturing, and show that such a technical change will increase the rate of return on capital, and decrease both skilled and unskilled labor wages. We derive conditions under which wage inequality increases, and most importantly, show that implementing protectionist trade policies in the industry experiencing labor‐eliminating technical progress will, paradoxically, hurt the workers that the policy is meant to protect.","John Gilbert & Onur A. Koska & Reza Oladi, 2022. ""Labor‐eliminating technology, wage inequality, and trade protectionism,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 24(6), pages 1249-1265, December.",N\A,https://ideas.repec.org/a/bla/jpbect/v24y2022i6p1249-1265.html,"24(6), pages 1249-1265, December.", 10.1111/jpet.12573,2022
9,Journal of Public Economic Theory,Strategic climate policy with endogenous plant location: The role of border carbon adjustments,"['Noha Elboghdadly', 'Michael Finus']","Carbon leakage and the relocation of firms is one of the main concerns of governments when choosing their climate policy. In a strategic trade model with endogenous plant location, we study the effect of border carbon adjustments (BCAs) on global welfare and emissions in an emission tax competition game between two asymmetric countries for two games: a simultaneous and a sequential game. Without BCAs, a ruinous “race to the bottom” with no relocation of firms is the only Nash equilibrium in a simultaneous game. In a sequential game, additionally, a “wise chicken” equilibrium may emerge where the Stackelberg leader gives in, letting all his/her plants relocate to avoid being stuck at the bottom. With BCAs, equilibrium emission taxes in both countries are higher, implying lower global emissions and usually higher global welfare in both games. With BCAs, the environmental more concerned country accepts that its firm partially relocates abroad, as it is rewarded with better control of global emissions, tariff revenues and higher net profits (profits minus taxes). This avoids high environmental damages and that either net profits are zero because of high subsidy levels in a “race to the bottom” or because all production plants have moved abroad.","Noha Elboghdadly & Michael Finus, 2022. ""Strategic climate policy with endogenous plant location: The role of border carbon adjustments,"" Journal of Public Economic Theory, Association for Public Economic Theory, vol. 24(6), pages 1266-1309, December.",N\A,https://ideas.repec.org/a/bla/jpbect/v24y2022i6p1266-1309.html,"24(6), pages 1266-1309, December.", 10.1111/jpet.12615,2022
