journal,title,authors,abstract,cite,jel,url,volume,doi,year
American Economic Journal: Macroeconomics,Anchored Inflation Expectations,"['Carlos Carvalho', 'Stefano Eusepi', 'Emanuel Moench', 'Bruce Preston']","We develop a theory of low-frequency movements in inflation expectations, and use it to interpret joint dynamics of inflation and inflation expectations for the United States and other countries over the postwar period. In our theory, long-run inflation expectations are endogenous. They are driven by short-run inflation surprises, in a way that depends on recent forecasting performance and monetary policy. This distinguishes our theory from common explanations of low-frequency properties of inflation. The model, estimated using only inflation and short-term forecasts from professional surveys, accurately predicts observed measures of long-term inflation expectations and identifies episodes of unanchored expectations.","Carlos Carvalho & Stefano Eusepi & Emanuel Moench & Bruce Preston, 2023. ""Anchored Inflation Expectations,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 1-47, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p1-47.html,"15(1), pages 1-47, January.", 10.1257/mac.20200080,2023
American Economic Journal: Macroeconomics,Firm Entry and Exit and Aggregate Growth,"['Jose Asturias', 'Sewon Hur', 'Timothy J. Kehoe', 'Kim J. Ruhl']","Applying the Foster, Haltiwanger, and Krizan (2001) decomposition to plant-level manufacturing data from Chile and Korea, we find that the entry and exit of plants account for a larger fraction of aggregate productivity growth during periods of fast GDP growth. To analyze this relationship, we develop a model of firm entry and exit based on Hopenhayn (1992). When we introduce reforms that reduce entry costs or reduce barriers to technology adoption into a calibrated model, we find that the entry and exit terms in the FHK decomposition become more important as GDP grows rapidly, just as they do in the data from Chile and Korea.","Jose Asturias & Sewon Hur & Timothy J. Kehoe & Kim J. Ruhl, 2023. ""Firm Entry and Exit and Aggregate Growth,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 48-105, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p48-105.html,"15(1), pages 48-105, January.", 10.1257/mac.20200376,2023
American Economic Journal: Macroeconomics,Learning about Debt Crises,['Radoslaw Paluszynski'],"The European debt crisis presents a challenge to our understanding of the relationship between government bond yields and economic fundamentals. I argue that information frictions are an important missing element and support that claim with evidence on the evolution of GDP forecast errors after 2008. I build a quantitative model of sovereign default where output features rare disasters and agents learn about their realizations. Debt crises coincide with economic depressions and develop gradually while markets update their expectations about future income. Calibrated to the Portuguese economy, the model replicates the comovement of bond spreads and output before and after 2008.","Radoslaw Paluszynski, 2023. ""Learning about Debt Crises,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 106-134, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p106-34.html,"15(1), pages 106-134, January.", 10.1257/mac.20190189,2023
American Economic Journal: Macroeconomics,Uncovering the Effects of the Zero Lower Bound with an Endogenous Financial Wedge,"['Dan Cao', 'Wenlan Luo', 'Guangyu Nie']","We study the effects of the zero lower bound (ZLB) on the severity of financial crises using an incomplete markets New Keynesian model with two occasionally binding constraints: a ZLB on the nominal interest rate and a borrowing constraint tied to an asset price. The model's financial wedge corresponds to an endogenous multiplier on the borrowing constraint. Binding ZLB exacerbates financial crises through its interaction with the asset fire sale vicious cycle, driving up the financial wedge. Our results offer a novel reinterpretation of the negligible effect of the ZLB in representative agent New Keynesian models with exogenous wedges.","Dan Cao & Wenlan Luo & Guangyu Nie, 2023. ""Uncovering the Effects of the Zero Lower Bound with an Endogenous Financial Wedge,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 135-172, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p135-72.html,"15(1), pages 135-172, January.", 10.1257/mac.20200495,2023
American Economic Journal: Macroeconomics,Robust Predictions for DSGE Models with Incomplete Information,"['Ryan Chahrour', 'Robert Ulbricht']","We provide predictions for DSGE models with incomplete information that are robust across information structures. Our approach maps an incomplete-information model into a full-information economy with time-varying expectation wedges and provides conditions that ensure the wedges are rationalizable by some information structure. Using our approach, we quantify the potential importance of information as a source of business cycle fluctuations in an otherwise frictionless model. Our approach uncovers a central role for firm-specific demand shocks in supporting aggregate confidence fluctuations. Only if firms face unobserved local demand shocks can confidence fluctuations account for a significant portion of the US business cycle.","Ryan Chahrour & Robert Ulbricht, 2023. ""Robust Predictions for DSGE Models with Incomplete Information,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 173-208, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p173-208.html,"15(1), pages 173-208, January.", 10.1257/mac.20200053,2023
American Economic Journal: Macroeconomics,The Government Spending Multiplier in a Multisector Economy,"['Hafedh Bouakez', 'Omar Rachedi', 'Emiliano Santoro']","We study the effects of aggregate government spending shocks in a production network economy where sectors differ in their price rigidity, factor intensities, use of intermediate inputs, and contribution to final demand. The model implies an aggregate value-added multiplier that is 75 percent (and $0.32) larger than that obtained in the average one-sector economy. This amplification is mainly driven by input-output linkages and—to a lesser extent—sectoral heterogeneity in price rigidity. Aggregate government spending shocks also lead to heterogeneous responses of sectoral value added, which are larger among upstream industries. We present novel empirical evidence supporting this prediction.","Hafedh Bouakez & Omar Rachedi & Emiliano Santoro, 2023. ""The Government Spending Multiplier in a Multisector Economy,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 209-239, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p209-39.html,"15(1), pages 209-239, January.", 10.1257/mac.20200213,2023
American Economic Journal: Macroeconomics,Skilled Labor Productivity and Cross-Country Income Differences,"['Lutz Hendricks', 'Todd Schoellman']","This paper revisits the question of how allowing for imperfect substitution among workers with different skill levels affects the results of development accounting. We consider a range of models that nest the approaches in the literature and calibrate them to a common set of moments, including particularly evidence on the wage gains of migrants. We obtain two main results. First, human capital accounts for between one-half and three-fourths of cross-country income gaps. Second, human capital accounts for only modest variation in the relative productivity of skilled versus unskilled labor.","Lutz Hendricks & Todd Schoellman, 2023. ""Skilled Labor Productivity and Cross-Country Income Differences,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 240-268, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p240-68.html,"15(1), pages 240-268, January.", 10.1257/mac.20200256,2023
American Economic Journal: Macroeconomics,"Women, Wealth Effects, and Slow Recoveries","['Masao Fukui', 'Emi Nakamura', 'Jón Steinsson']","Business cycle recoveries have slowed in recent decades. This slow-down comes entirely from female employment, as women's employment rates converged toward men's during the past half-century. But does the slowdown in the growth of female employment rates translate into a slowdown for overall employment rates? We estimate the extent to which women ""crowd out"" men in the labor market across US states, and find that it is small. Through the lens of a general equilibrium model with home production, we show this statistic implies that 60–75 percent of the slowdown in recent business cycle recoveries can be explained by female convergence.","Masao Fukui & Emi Nakamura & Jón Steinsson, 2023. ""Women, Wealth Effects, and Slow Recoveries,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 269-313, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p269-313.html,"15(1), pages 269-313, January.", 10.1257/mac.20200312,2023
American Economic Journal: Macroeconomics,Consumption Heterogeneity: Micro Drivers and Macro Implications,"['Edmund Crawley', 'Andreas Kuchler']","We document heterogeneity in the marginal propensity to consume (MPC) across household characteristics relevant to understanding heterogeneous agent models and monetary policy transmission. We find a strong negative relationship between household liquid wealth and MPC. We show that household liquid wealth predicts MPC closely for every other household characteristic we look at. We use a new empirical method that overcomes sources of bias found in the existing literature, along with administrative data from Denmark that allow us to identify heterogeneous behavior. We use our results to analyze monetary policy transmission mechanisms in both Denmark and the United States.","Edmund Crawley & Andreas Kuchler, 2023. ""Consumption Heterogeneity: Micro Drivers and Macro Implications,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 314-341, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p314-41.html,"15(1), pages 314-341, January.", 10.1257/mac.20200352,2023
American Economic Journal: Macroeconomics,Assessing the Gains from E-Commerce,"['Paul Dolfen', 'Liran Einav', 'Peter J. Klenow', 'Benjamin Klopack', 'Jonathan D. Levin', 'Larry Levin', 'Wayne Best']","E-commerce represents a rapidly growing share of consumer spending in the United States. We use transactions-level data on credit and debit cards from Visa, Inc. between 2007 and 2017 to quantify the resulting consumer surplus. We estimate e-commerce reached 8 percent of consumption by 2017, yielding the equivalent of a 1 percent boost to their consumption, or over $1,000 per household per year. While some of the gains arose from avoiding travel costs to local merchants, most of the gains stemmed from substituting to merchants available online but not locally. Higher income consumers gained more, as did consumers in more densely populated counties.","Paul Dolfen & Liran Einav & Peter J. Klenow & Benjamin Klopack & Jonathan D. Levin & Larry Levin & Wayne Best, 2023. ""Assessing the Gains from E-Commerce,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 342-370, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p342-70.html,"15(1), pages 342-370, January.", 10.1257/mac.20210049,2023
American Economic Journal: Macroeconomics,"Fiscal Policy, Relative Prices, and Net Exports in a Currency Union","['Luisa Lambertini', 'Christian Proebsting']","The hoped-for silver lining of euro-area austerity programs was to raise external competitiveness and improve current accounts. Using product- and industry-level data for 12 countries over the period 1999–2018, we show that reductions in government spending reduce prices and wages but only for products with low import content and industries with low export shares. This leads to asymmetric expenditure switching, with net exports improving through lower imports rather than higher exports. The standard small-open-economy model fails to rationalize these findings, but home bias in government spending and frictions preventing factor prices from equalizing across sectors considerably improve the fit of the model.","Luisa Lambertini & Christian Proebsting, 2023. ""Fiscal Policy, Relative Prices, and Net Exports in a Currency Union,"" American Economic Journal: Macroeconomics, American Economic Association, vol. 15(1), pages 371-410, January.",N\A,https://ideas.repec.org/a/aea/aejmac/v15y2023i1p371-410.html,"15(1), pages 371-410, January.", 10.1257/mac.20200470,2023
