journal,title,authors,volume,jel,abstract,url,doi
Econometrica,Invidious Comparisons: Ranking and Selection as Compound Decisions,"['Jiaying Gu', 'Roger Koenker']","2023, vol. 91, issue 1, 1-41",[],"Abstract: There is an innate human tendency, one might call it the “league table mentality,” to construct rankings. Schools, hospitals, sports teams, movies, and myriad other objects are ranked even though their inherent multi‐dimensionality would suggest that—at best—only partial orderings were possible. We consider a large class of elementary ranking problems in which we observe noisy, scalar measurements of merit for n objects of potentially heterogeneous precision and are asked to select a group of the objects that are “most meritorious.” The problem is naturally formulated in the compound decision framework of Robbins's (1956) empirical Bayes theory, but it also exhibits close connections to the recent literature on multiple testing. The nonparametric maximum likelihood estimator for mixture models (Kiefer and Wolfowitz (1956)) is employed to construct optimal ranking and selection rules. Performance of the rules is evaluated in simulations and an application to ranking U.S. kidney dialysis centers.",https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a1-41.htm,https://doi.org/10.3982/ECTA19304
Econometrica,A Comment on: “Invidious Comparisons: Ranking and Selection as Compound Decisions” by Jiaying Gu and Roger Koenker,['Keisuke Hirano'],"2023, vol. 91, issue 1, 43-46",[],,https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a43-46.htm,https://doi.org/10.3982/ECTA20364
Econometrica,A Comment on: “Invidious Comparisons: Ranking and Selection as Compound Decisions” by Jiaying Gu and Roger Koenker,['Patrick Kline'],"2023, vol. 91, issue 1, 47-52",[],,https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a47-52.htm,https://doi.org/10.3982/ECTA20322
Econometrica,A Comment on: “Invidious Comparisons: Ranking and Selection as Compound Decisions” by Jiaying Gu and Roger Koenker,"['Magne Mogstad', 'Joseph P. Romano', 'Azeem M. Shaikh', 'Daniel Wilhelm']","2023, vol. 91, issue 1, 53-60",[],,https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a53-60.htm,https://doi.org/10.3982/ECTA20460
Econometrica,Reply to: Comments on “Invidious Comparisons: Ranking and Selection as Compound Decisions”,"['Jiaying Gu', 'Roger Koenker']","2023, vol. 91, issue 1, 61-66",[],,https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a61-66.htm,https://doi.org/10.3982/ECTA20537
Econometrica,Misallocation and Capital Market Integration: Evidence From India,"['Natalie Bau', 'Adrien Matray']","2023, vol. 91, issue 1, 67-106",[],"Abstract: We show that foreign capital liberalization reduces capital misallocation and increases aggregate productivity for affected industries in India. The staggered liberalization of access to foreign capital across disaggregated industries allows us to identify changes in firms' input wedges, overcoming major challenges in the measurement of the effects of changing misallocation. Liberalization increases capital overall. For domestic firms with initially high marginal revenue products of capital (MRPK), liberalization increases revenues by 23%, physical capital by 53%, wage bills by 28%, and reduces MRPK by 33% relative to low MRPK firms. The effects of liberalization are largest in areas with less developed local banking sectors, indicating that inefficiencies in that sector may cause misallocation. Finally, we propose an assumption under which a novel method exploiting natural experiments can be used to bound the effect of changes in misallocation on treated industries' aggregate productivity. These industries' Solow residual increases by 3–16%.",https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a67-106.htm,https://doi.org/10.3982/ECTA19039
Econometrica,Nonparametric Estimates of Demand in the California Health Insurance Exchange,"['Pietro Tebaldi', 'Alexander Torgovitsky', 'Hanbin Yang']","2023, vol. 91, issue 1, 107-146",[],"Abstract: We develop a new nonparametric approach for discrete choice and use it to analyze the demand for health insurance in the California Affordable Care Act marketplace. The model allows for endogenous prices and instrumental variables, while avoiding parametric functional form assumptions about the unobserved components of utility. We use the approach to estimate bounds on the effects of changing premiums or subsidies on coverage choices, consumer surplus, and government spending on subsidies. We find that a $10 decrease in monthly premium subsidies would cause a decline of between 1.8% and 6.7% in the proportion of subsidized adults with coverage. The reduction in total annual consumer surplus would be between $62 and $74 million, while the savings in yearly subsidy outlays would be between $207 and $602 million. We estimate the demand impacts of linking subsidies to age, finding that shifting subsidies from older to younger buyers would increase average consumer surplus, with potentially large impacts on enrollment. We also estimate the consumer surplus impact of removing the highly‐subsidized plans in the Silver metal tier, where we find that a nonparametric model is consistent with a wide range of possibilities. We find that comparable mixed logit models tend to yield price sensitivity estimates toward the lower end of the nonparametric bounds, while producing consumer surplus impacts that can be both higher and lower than the nonparametric bounds depending on the specification of random coefficients.",https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a107-146.htm,https://doi.org/10.3982/ECTA17215
Econometrica,Nexus Tax Laws and Economies of Density in E‐Commerce: A Study of Amazon's Fulfillment Center Network,"['Jean‐François Houde', 'Peter Newberry', 'Katja Seim']","2023, vol. 91, issue 1, 147-190",[],"Abstract: We quantify the distortionary effects of nexus tax laws on Amazon's distribution network investments between 1999 and 2018. We highlight the role of two features of the expansion of Amazon's network: densification of the network of distribution facilities and vertical integration into package sortation. Densification results in a reduction in the cost of shipping orders, but comes at the expense of higher facility operating costs in more expensive areas and lower scale economies of processing shipments. Nexus laws furthermore generate additional sales tax liabilities as the network grows. Combining data on household spending across online and offline retailers with detailed data on Amazon's distribution network, we quantify these trade‐offs through a static model of demand and a dynamic model of investment. Our results suggest that Amazon's expansion led to significant shipping cost savings and facilitated the realization of aggregate economies of scale. We find that abolishing nexus tax laws in favor of a non‐discriminatory tax policy would induce the company to decentralize its network, lowering its shipping costs. Non‐discriminatory taxation would also entail lower revenue, however, as tax‐inclusive prices would rise, resulting in a fall in profit overall. This drop and the decline in consumer welfare from higher taxes together fall short of the increases in tax revenue and rival profit, suggesting that the abolishment of nexus laws would lead to an increase in total welfare.",https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a147-190.htm,https://doi.org/10.3982/ECTA15265
Econometrica,Graphon Games: A Statistical Framework for Network Games and Interventions,"['Francesca Parise', 'Asuman Ozdaglar']","2023, vol. 91, issue 1, 191-225",[],"Abstract: In this paper, we present a unifying framework for analyzing equilibria and designing interventions for large network games sampled from a stochastic network formation process represented by a graphon. To this end, we introduce a new class of infinite population games, termed graphon games, in which a continuum of heterogeneous agents interact according to a graphon, and we show that equilibria of graphon games can be used to approximate equilibria of large network games sampled from the graphon. This suggests a new approach for design of interventions and parameter inference based on the limiting infinite population graphon game. We show that, under some regularity assumptions, such approach enables the design of asymptotically optimal interventions via the solution of an optimization problem with much lower dimension than the one based on the entire network structure. We illustrate our framework on a synthetic data set and show that the graphon intervention can be computed efficiently and based solely on aggregated relational data.",https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a191-225.htm,https://doi.org/10.3982/ECTA17564
Econometrica,The Race Between Preferences and Technology,['Joachim Hubmer'],"2023, vol. 91, issue 1, 227-261",[],"Abstract: This paper argues that a unified analysis of consumption and production is required to understand the long‐run behavior of the U.S. labor share. First, using household data on the universe of consumer spending, I document that higher‐income households spend relatively more on labor‐intensive goods and services as a share of their total consumption. Interpreted as nonhomothetic preferences, this fact implies that economic growth increases the aggregate labor share through an income effect. Second, using disaggregated data on factor shares and capital intensities, I document that equipment‐intensive goods experienced relatively larger declines in their labor shares. Based on this finding, I estimate that capital and labor are gross substitutes, and that investment‐specific technical change reduces the labor share. Given the estimated elasticities, a parsimonious neoclassical model quantitatively matches the observed low‐frequency movements in the aggregate labor share since the 1950s, both its relative stability until about 1980 and its decline thereafter.",https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a227-261.htm,https://doi.org/10.3982/ECTA18580
