journal,title,authors,abstract,cite,jel,url,volume,doi,year
Journal of the European Economic Association,Learning About One’s Self[Specious Reward: A Behavioral Theory of Impulsiveness and Impulse Control],"['Yves Le Yaouanq', 'Peter Schwardmann']","To understand why naiveté about present-biased behavior is so prevalent and persistent, our experiment investigates how well participants learn from their past behavior in a real-effort task. While participants display naive present-biased behavior initially, our novel methodology allows us to establish that their updating is unbiased and would eliminate naiveté in the long run. Moreover, learning is unencumbered by a change in the environment. Our results suggest that persistent naiveté does not result from a fundamental inferential bias. However, participants underestimate their future learning—a bias that may lead to underinvestment in experimentation and a failure to activate self-regulation mechanisms.","Yves Le Yaouanq & Peter Schwardmann, 2022. ""Learning About One’s Self [Specious Reward: A Behavioral Theory of Impulsiveness and Impulse Control],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 1791-1828.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p1791-1828..html,"20(5), pages 1791-1828.",10.1093/jeea/jvac012,2022
Journal of the European Economic Association,Transfer Payment Systems and Financial Distress: Insights from Health Insurance Premium Subsidies[Recursive Partitioning for Heterogeneous Causal Effects],"['Christian P R Schmid', 'Nicolas Schreiner', 'Alois Stutzer']","How should payment systems of means-tested benefits be designed to improve the financial situation of needy recipients most effectively? We study this question in the context of mandatory health insurance in Switzerland, where recipients initially receive either a cash transfer or subsidized insurance premiums (a form of in-kind transfer). A federal reform in 2014 forced cantons (i.e. states) to universally switch to in-kind provision. We exploit this setting based on a difference-in-differences design, analyzing eight years of rich individual-level accounting data and applying a machine learning approach to identify cash recipients prior to the reform. We find that switching from cash to in-kind transfers persistently reduces the likelihood of late premium payments by about 20% and of government debt collection for long-term missed payments by approximately 12%. There is no evidence for a negative spillover effect on the timely payment of the non-subsidized co-pay bills for health services after the regime change.","Christian P R Schmid & Nicolas Schreiner & Alois Stutzer, 2022. ""Transfer Payment Systems and Financial Distress: Insights from Health Insurance Premium Subsidies [Recursive Partitioning for Heterogeneous Causal Effects],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 1829-1858.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p1829-1858..html,"20(5), pages 1829-1858.",10.1093/jeea/jvac011,2022
Journal of the European Economic Association,Mass Migration and Technological Change[“Immigration in American Economic History.”],"['David Andersson', 'Mounir Karadja', 'Erik Prawitz']","This paper studies the effect of emigration on technological change in sending locations after one of the largest migration events in human history, the mass migration from Europe to the United States in the 19th century. To establish causality, we adopt an instrumental variable strategy that combines local growing-season frost shocks with proximity to emigration ports. Using data on patents, we find that emigration led to an increase in innovative activity in sending localities. Using data on capital and labor inputs in agriculture and industry, we find evidence of an increased capital intensity related to new technologies in both sectors. We argue that these results are consistent with theories of induced (labor-saving) innovation due to high labor costs following emigration.","David Andersson & Mounir Karadja & Erik Prawitz, 2022. ""Mass Migration and Technological Change [“Immigration in American Economic History.”],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 1859-1896.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p1859-1896..html,"20(5), pages 1859-1896.",10.1093/jeea/jvac017,2022
Journal of the European Economic Association,Regulatory Interventions in Consumer Financial Markets: The Case of Credit Cards[“Regulating Consumer Financial Products: Evidence from Credit Cards.”],"['Manolis Galenianos', 'Alessandro Gavazza']","We build a framework to understand the effects of regulatory interventions in credit markets, such as caps on interest rates. We focus on the credit card market, in which we observe US consumers borrowing at high and very dispersed interest rates despite receiving many credit card offers. Our framework includes two main features to account for these patterns: the endogenous effort of examining offers and product differentiation. Our calibration suggests that most borrowers examine few of the offers they receive, and thereby forego cards with low interest rates and high non-price benefits. The calibrated model implies that interest-rate caps reduce credit supply and significantly curb lenders’ market power, thereby increasing consumer surplus. Moderate caps may yield larger gains in consumer surplus than tighter ones.","Manolis Galenianos & Alessandro Gavazza, 2022. ""Regulatory Interventions in Consumer Financial Markets: The Case of Credit Cards [“Regulating Consumer Financial Products: Evidence from Credit Cards.”],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 1897-1932.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p1897-1932..html,"20(5), pages 1897-1932.",10.1093/jeea/jvac016,2022
Journal of the European Economic Association,Imperfect Competition in Firm-to-Firm Trade[The Effects of Joining Multinational Supply Chains: New Evidence from Firm-to-Firm Linkages],"['Emmanuel Dhyne', 'Ayumu Ken Kikkawa', 'Glenn Magerman']","This paper studies the implications of imperfect competition in firm-to-firm trade. Exploiting data on the universe of sales relationships between Belgian firms, we document that firms’ markups increase in the average input shares among their buyers. Motivated by this fact, we develop and estimate a model where firms charge buyer–supplier-specific markups that depend on the bilateral input shares. We find markup dispersion within firms across buyers creates substantial welfare loss: Aggregate welfare increases by around 6% when firms are banned from charging different markups across buyers.","Emmanuel Dhyne & Ayumu Ken Kikkawa & Glenn Magerman, 2022. ""Imperfect Competition in Firm-to-Firm Trade [The Effects of Joining Multinational Supply Chains: New Evidence from Firm-to-Firm Linkages],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 1933-1970.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p1933-1970..html,"20(5), pages 1933-1970.",10.1093/jeea/jvac013,2022
Journal of the European Economic Association,Talents and Cultures: Immigrant Inventors and Ethnic Diversity in the Age of Mass Migration[“The Effects of Immigration on the Economy: Lessons from the 1920s Border Closure.”],"['Francesco Campo', 'Mariapia Mendola', 'Andrea Morrison', 'Gianmarco Ottaviano']","We investigate the importance of co-ethnic networks and diversity in determining immigrant inventors’ settlements in the United States by following the location choices of thousands of them across counties during the Age of Mass Migration. To do so, we combine a unique United States Patent and Trademark Office historical patent dataset on immigrants who arrived as adults with Census data and exploit exogenous variation in both immigration flows and diversity induced by former settlements, WWI, and the 1920s Immigration Acts. We find that co-ethnic networks play an important role in attracting immigrant inventors. Yet, we also find that immigrant diversity acts as an additional significant pull factor. This is mainly due to externalities that foster immigrant inventors’ productivity.","Francesco Campo & Mariapia Mendola & Andrea Morrison & Gianmarco Ottaviano, 2022. ""Talents and Cultures: Immigrant Inventors and Ethnic Diversity in the Age of Mass Migration [“The Effects of Immigration on the Economy: Lessons from the 1920s Border Closure.”],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 1971-2012.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p1971-2012..html,"20(5), pages 1971-2012.",10.1093/jeea/jvac021,2022
Journal of the European Economic Association,Wage Flexibility under Sectoral Bargaining[Unions and Collective Bargaining in the Wake of the Great Recession: Evidence from Portugal],"['David Card', 'Ana Rute Cardoso']","Sectoral contracts in many European countries set wage floors for different occupation groups. In addition, employers often pay a wage premium (or wage cushion) to individual workers. We use administrative data from Portugal, linked to collective bargaining agreements, to study the interactions between wage floors and wage cushions and quantify the impact of sectoral wage floors. Although wages exhibit a “spike” at the wage floor, a typical worker receives a 20% premium over the floor, with larger cushions for older- and better-educated workers and at higher-productivity firms. Cushions also allow wages to covary with firm-specific productivity, even within sectoral agreements. Contract negotiations tend to raise all wage floors proportionally, with increases that reflect average productivity growth among covered firms. As floors rise, however, cushions are compressed, leading to an average passthrough rate of about 50%. Finally, we use a series of counterfactual simulations to show that real wage reductions during the recent financial crisis arose through reductions in real wage floors, reductions in real cushions, and a re-allocation of workers to lower wage floors. Offsetting these effects was a rapid rise in education of new cohorts, which in the absence of other factors would have led to rising real wages.","David Card & Ana Rute Cardoso, 2022. ""Wage Flexibility under Sectoral Bargaining [Unions and Collective Bargaining in the Wake of the Great Recession: Evidence from Portugal],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 2013-2061.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p2013-2061..html,"20(5), pages 2013-2061.",10.1093/jeea/jvac020,2022
Journal of the European Economic Association,"Optimal Time-Consistent Government Debt Maturity, Fiscal Policy, and Default[“Take the Short Route: How to Repay and Restructure Sovereign Debt with Multiple Maturities.”]",['Sergii Kiiashko'],"I develop a tractable model to study the optimal debt maturity structure and fiscal policy in an environment with incomplete markets, lack of commitment, and opportunity to default by the government. I show that the Lucas and Stokey time-consistency result can be extended to environments with an opportunity of outright default. The maturity is used to resolve the time-consistency problem. I show that if both risk-free interest rates and risk premiums can be manipulated, then the optimal maturity structure tends to have a decaying profile: The government issues debt at all maturity dates, but the distribution of payments over time is skewed toward the short end. The model allows for numerical characterization of the optimal maturity structure of debt with an arbitrarily large number of maturities. Debt maturity data across countries are consistent with model predictions.","Sergii Kiiashko, 2022. ""Optimal Time-Consistent Government Debt Maturity, Fiscal Policy, and Default [“Take the Short Route: How to Repay and Restructure Sovereign Debt with Multiple Maturities.”],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 2062-2097.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p2062-2097..html,"20(5), pages 2062-2097.",10.1093/jeea/jvac024,2022
Journal of the European Economic Association,"Gross Capital Flows by Banks, Corporates, and Sovereigns[“Cyclical Budgetary Policy and Economic Growth: What Do We Learn from OECD Panel Data?”]","['Stefan Avdjiev', 'Bryan Hardy', 'Şebnem Kalemli-Özcan', 'Luis Servén']","We construct a new quarterly data set of international capital flows broken down by sector—banks, corporates, and sovereigns—and demonstrate the importance of distinguishing capital flows by the sector of domestic borrowers and lenders. We document four new sets of facts. First, banks account for the largest part of the external debt (stocks and flows) in advanced economies, whereas in emerging markets, banks, corporates, and sovereigns have roughly equal shares. Second, the high correlation between total capital inflows and outflows documented in the literature is driven by banking sector flows; that is, domestic banks’ borrowing from foreigners is highly correlated with domestic banks’ lending to foreigners. Third, sovereign flows behave very differently from and often act as a countervailing force to private sector (banking and corporate) flows, especially in emerging markets. Fourth, different shocks (global financial cycles versus domestic business cycles; banking versus currency versus sovereign crises) generate very distinct patterns of capital inflows and outflows by sector. The stylized facts we document deepen our understanding of the dynamics and behavior of capital flows and have important implications for open economy models.","Stefan Avdjiev & Bryan Hardy & Şebnem Kalemli-Özcan & Luis Servén, 2022. ""Gross Capital Flows by Banks, Corporates, and Sovereigns [“Cyclical Budgetary Policy and Economic Growth: What Do We Learn from OECD Panel Data?”],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 2098-2135.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p2098-2135..html,"20(5), pages 2098-2135.",10.1093/jeea/jvac038,2022
Journal of the European Economic Association,Liquidity and Discipline. Bank due Diligence Over the Business Cycle[“Asset Prices under Habit Formation and Catching Up with the Joneses.”],"['Qingqing Cao', 'Marco Di Pietro', 'Sotirios Kokas', 'Raoul Minetti']","The quality of bank lending is increasingly viewed as a force driving the buildup and unfolding of crises. In a dynamic general equilibrium model, we show that banks’ access to liquidity and the values of loan portfolios govern banks’ incentives and effectiveness in producing information on loans. Consistent with granular loan-level evidence from US banks, the calibrated model predicts that loan due diligence deteriorates during expansions and intensifies during contractions. This countercyclicality attenuates investment and output effects of liquidity shocks but can moderately amplify loan quality shocks. Credit policies may dilute stabilizing effects of due diligence.","Qingqing Cao & Marco Di Pietro & Sotirios Kokas & Raoul Minetti, 2022. ""Liquidity and Discipline. Bank due Diligence Over the Business Cycle [“Asset Prices under Habit Formation and Catching Up with the Joneses.”],"" Journal of the European Economic Association, European Economic Association, vol. 20(5), pages 2136-2180.",N\A,https://ideas.repec.org/a/oup/jeurec/v20y2022i5p2136-2180..html,"20(5), pages 2136-2180.",10.1093/jeea/jvac022,2022
