journal,title,authors,abstract,cite,jel,url,volume,doi,year
European Economic Review,Living and Dying in America: An Essay on Deaths of Despair and the Future of Capitalism,['Christopher J. Ruhm'],"This essay reviews Deaths of Despair and the Future of Capitalism (hereafter, DEATHS) by Anne Case and Angus Deaton, a fascinating account of life and death in the United States during the late twentieth and early twenty-first centuries. While primarily targeted toward a popular audience, the volume will be of interest to many economists and other social scientists. It postulates how American capitalism run amok—combined with and partially causing the declining economic circumstances of the less educated—has increased mortality from drugs, suicide, and chronic liver disease. After describing the material in DEATHS in considerable detail, I suggest a variety of research questions that need to be answered to confirm or refute Case and Deaton's arguments and describe challenges to their key hypotheses. Among the latter are the ability of the postulated relationships to explain the sharply differing mortality trajectories of non-Hispanic Whites, compared with other groups, and the timing of the observed mortality changes. Along the way, I raise doubts about the usefulness of the ""deaths of despair"" conceptualization, with its strong implications about causality.",N\A,N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i4p1159-87.html,N\A, 10.1257/jel.20211638,2022
European Economic Review,Graduate Student Mental Health: Lessons from American Economics Departments,"['Valentin Bolotnyy', 'Matthew Basilico', 'Paul Barreira']","We study the mental health of graduate students at eight top-ranked economics PhD programs in the United States using clinically validated surveys. We find that 24.8 percent experience moderate or severe symptoms of depression or anxiety—more than two times the population average. Though our response rate was 45.1 percent and sample selection concerns exist, conservative lower bounds nonetheless suggest higher prevalence rates of such symptoms than in the general population. Mental health issues are especially prevalent at the end of the PhD program: 36.7 percent of students in years 6+ of their program experience moderate or severe symptoms of depression or anxiety, versus 21.2 percent of first-year students. Of economics students with these symptoms, 25.2 percent are in treatment, compared to 41.4 percent of graduate students in other programs. A similar percentage of economics students (40–50 percent) say they cannot honestly discuss mental health with advisers as say they cannot easily discuss nonacademic career options with them. Only 26 percent find their work to be useful always or most of the time, compared to 70 percent of economics faculty and 63 percent of the working age population. We provide recommendations for students, faculty, and administrators on ways to improve graduate student mental health.",N\A,N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i4p1188-1222.html,N\A, 10.1257/jel.20201555,2022
European Economic Review,Measurement Systems,['Susanne Schennach'],"Economic models often depend on quantities that are unobservable, either for privacy reasons or because they are difficult to measure. Examples of such variables include human capital (or ability), personal income, unobserved heterogeneity (such as consumer ""types""), et cetera. This situation has historically been handled either by simply using observable imperfect proxies for each of the unobservables, or by assuming that such unobservables satisfy convenient conditional mean or independence assumptions that enable their elimination from the estimation problem. However, thanks to tremendous increases in both the amount of data available and computing power, it has become possible to take full advantage of recent formal methods to infer the statistical properties of unobservable variables from multiple imperfect measurements of them. The general framework used is the concept of measurement systems in which a vector of observed variables is expressed as a (possibly nonlinear or nonparametric) function of a vector of all unobserved variables (including unobserved error terms or ""disturbances"" that may have nonadditively separable affects). The framework emphasizes important connections with related fields, such as nonlinear panel data, limited dependent variables, game theoretic models, dynamic models, and set identification. This review reports the progress made toward the central question of whether there exist plausible assumptions under which one can identify the joint distribution of the unobservables from the knowledge of the joint distribution of the observables. It also overviews empirical efforts aimed at exploiting such identification results to deliver novel findings that formally account for the unavoidable presence of unobservables.",N\A,N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i4p1223-63.html,N\A, 10.1257/jel.20211355,2022
European Economic Review,Legal Markets,['Gillian K. Hadfield'],"The existence of an effective legal system is assumed throughout economic analysis, and yet there has been little study of the economics of legal markets themselves. Research to date has focused narrowly on the economics of markets for lawyers. In this review, I distinguish legal markets from the market for lawyers and show how excessive regulation of our legal markets—by lawyers themselves—distorts economic activity and growth. It does so primarily by inhibiting investment in the legal and regulatory technologies needed to respond to the transformation of the economy wrought by globalization, digitization, aspirations for inclusion, and the coming of artificial intelligence.",N\A,N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i4p1264-1315.html,N\A, 10.1257/jel.20201330,2022
European Economic Review,Agri-food Value Chain Revolutions in Low- and Middle-Income Countries,"['Christopher B. Barrett', 'Thomas Reardon', 'Johan Swinnen', 'David Zilberman']","Agri-food value chains (AVCs) intermediate the flow of products between largely rural farmers, fisherfolk, or herders and increasingly urban consumers. The theoretical models that historically structured research on the economic development process assumed away AVC functions, however, and AVC firms and workers were necessarily omitted from the household data that generated most empirical findings in the agricultural and development economics literatures. As a result, the discipline has somewhat overlooked the rapid growth and structural change in AVCs over the past few decades that turned AVCs into major employers and sources of value addition, as well as key loci for technology transfer and foreign investment. This paper offers an integrated, structured, empirical narrative of how and why AVC revolutions occur in developing countries, the impacts of those changes, and the abundant economic research opportunities these structural changes afford economists.",N\A,N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i4p1316-77.html,N\A, 10.1257/jel.20201539,2022
European Economic Review,Local Policy Choice: Theory and Empirics,"['David R. Agrawal', 'William H. Hoyt', 'John D. Wilson']","This paper critically surveys the growing literature on the policy choices of local governments. First, we identify various reasons for local government policy interactions, including fiscal competition, bidding for firms, yardstick competition, expenditure spillovers, and Tiebout sorting. We discuss theoretically what parameters should be estimated to determine the reason for competition among local governments. We emphasize how the policy outcomes emerging from this competition are affected by the presence of constraints imposed by higher-level governments. Second, we integrate theoretical and empirical analyses on the effects of fiscal decentralization on mobility, spillovers, fiscal externalities, economic outcomes, and distributional issues. Third, we identify key issues that arise in the empirical estimation of strategic interactions among local governments and highlight recent quasi-experimental evidence that has attempted to identify the mechanism at work. Finally, a synthesis model, containing multiple mechanisms and fiscal instruments, resolves some puzzles and provides guidance for future research.","Mongrain, Steeve & Wilson, John D., 2018. ""Tax competition with heterogeneous capital mobility,"" Journal of Public Economics, Elsevier, vol. 167(C), pages 177-189. Steeve Mongrain & John D. Wilson, 2011. ""Tax competition with heterogeneous capital mobility,"" Working Papers 2011/25, Institut d'Economia de Barcelona (IEB). Steeve Mongrain & John D. Wilson, 2017. ""Tax Competition with Heterogeneous Capital Mobility,"" Discussion Papers dp17-13, Department of Economics, Simon Fraser University. Steeve Mongrain & John D. Wilson, 2015. ""Tax Competition with Heterogeneous Capital Mobility,"" CESifo Working Paper Series 5688, CESifo.",N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i4p1378-1455.html,"167(C), pages 177-189. Steeve Mongrain & John D. Wilson, 2011. ""Tax competition with heterogeneous capital mobility,"" Working Papers 2011/25, Institut d'Economia de Barcelona (IEB). Steeve Mongrain & John D. Wilson, 2017. ""Tax Competition with Heterogeneous Capital Mobility,"" Discussion Papers dp17-13, Department of Economics, Simon Fraser University. Steeve Mongrain & John D. Wilson, 2015. ""Tax Competition with Heterogeneous Capital Mobility,"" CESifo Working Paper Series 5688, CESifo.", 10.1257/jel.20201490,2022
European Economic Review,Carbon Taxes,['Govinda R. Timilsina'],"There is a growing interest in using carbon taxes to reduce greenhouse gas emissions, not only in industrialized economies but also in developing economies. Many countries have considered carbon pricing, including carbon taxes, as policy instruments to meet their emission reduction targets set under the Paris Climate Agreement. However, policy makers, particularly from developing countries, are seeking clarity on several issues—particularly the impacts of carbon taxes on the economy, the distribution of these impacts across households, carbon tax design architectures, the effects of carbon taxes on the competitiveness of carbon-intensive industries, and comparison of carbon taxes with other policy instruments for climate change mitigation. This paper aims to offer insights on these issues by synthesizing the literature available since the 1970s, when the concept of carbon tax was first introduced. This paper also identifies the areas where further investigations are needed.",N\A,N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i4p1456-1502.html,N\A, 10.1257/jel.20211560,2022
European Economic Review,Larry Ball's The Fed and Lehman Brothers: A Review Essay,['V. V. Chari'],Laurence Ball argues that the Federal Reserve (the Fed) could—and should—have bailed out Lehman Brothers so that it did not have to declare bankruptcy. He presents compelling evidence that it could have. I argue that the view that the Fed should not bail out Lehman is reasonable under the circumstances the Fed was in at the time. The Lehman bankruptcy is a case study in bailouts and the attendant moral hazard problem that expectations of bailouts create. The lessons learned imply a clear case for appropriate regulatory intervention to solve the problems created when governments cannot commit themselves to not undertake bailouts.,N\A,N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i4p1503-08.html,N\A, 10.1257/jel.20221515,2022
European Economic Review,The Political Economy of Populism,"['Sergei Guriev', 'Elias Papaioannou']","We synthesize the literature on the recent rise of populism. First, we discuss definitions and present descriptive evidence on the recent increase in support for populists. Second, we cover the historical evolution of populist regimes since the late nineteenth century. Third, we discuss the role of secular economic factors related to cross-border trade and automation. Fourth, we review studies on the role of the 2008–09 global financial crisis and subsequent austerity, connect them to historical work covering the Great Depression, and discuss likely mechanisms. Fifth, we discuss studies on identity politics, trust, and cultural backlash. Sixth, we discuss economic and cultural consequences of growth in immigration and the recent refugee crisis. We also discuss the gap between perceptions and reality regarding immigration. Seventh, we review studies on the impact of the internet and social media. Eighth, we discuss the literature on the implications of populism's recent rise. We conclude outlining avenues for further research.",N\A,N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i3p753-832.html,N\A, 10.1257/jel.20201595,2022
European Economic Review,Belief-Dependent Motivations and Psychological Game Theory,"['Pierpaolo Battigalli', 'Martin Dufwenberg']","The mathematical framework of psychological game theory is useful for describing many forms of motivation where preferences depend directly on one's own or others' beliefs. It allows for incorporating, for example, emotions, reciprocity, image concerns, and self-esteem in economic analysis. We explain how and why, discussing basic theory, experiments, applied work, and methodology.","Gary Charness & Matthew Rabin, 2002. ""Understanding Social Preferences with Simple Tests,"" The Quarterly Journal of Economics, Oxford University Press, vol. 117(3), pages 817-869. Charness, Gary B & Rabin, Matthew, 2001. ""Understanding Social Preferences With Simple Tests,"" University of California at Santa Barbara, Economics Working Paper Series qt0dc3k4m5, Department of Economics, UC Santa Barbara. Charness, Gary & Rabin, Matthew, 2001. ""Understanding Social Preferences with Simple Tests,"" Department of Economics, Working Paper Series qt4qz9k8vg, Department of Economics, Institute for Business and Economic Research, UC Berkeley. Gary Charness & Matthew Rabin, 2003. ""Understanding Social Preferences with Simple Tests,"" General Economics and Teaching 0303002, University Library of Munich, Germany. Charness, Gary & Rabin, Matthew, 2002. ""Understanding Social Preferences with Simple Tests,"" Department of Economics, Working Paper Series qt3d04q5sm, Department of Economics, Institute for Business and Economic Research, UC Berkeley.",N\A,https://ideas.repec.org/a/aea/jeclit/v60y2022i3p833-82.html,"117(3), pages 817-869. Charness, Gary B & Rabin, Matthew, 2001. ""Understanding Social Preferences With Simple Tests,"" University of California at Santa Barbara, Economics Working Paper Series qt0dc3k4m5, Department of Economics, UC Santa Barbara. Charness, Gary & Rabin, Matthew, 2001. ""Understanding Social Preferences with Simple Tests,"" Department of Economics, Working Paper Series qt4qz9k8vg, Department of Economics, Institute for Business and Economic Research, UC Berkeley. Gary Charness & Matthew Rabin, 2003. ""Understanding Social Preferences with Simple Tests,"" General Economics and Teaching 0303002, University Library of Munich, Germany. Charness, Gary & Rabin, Matthew, 2002. ""Understanding Social Preferences with Simple Tests,"" Department of Economics, Working Paper Series qt3d04q5sm, Department of Economics, Institute for Business and Economic Research, UC Berkeley.", 10.1257/jel.20201378,2022
