journal,title,authors,abstract,cite,jel,url,volume,doi,year
Journal of International Economics,Responses of exporters to trade protectionism: Inferences from the US-China trade war,"['Jiang, Lingduo', 'Lu, Yi', 'Song, Hong', 'Zhang, Guofeng']","This paper investigates how exports respond to trade protection by studying the US-China trade war in 2018. Using monthly customs data in China from January 2017 to May 2019, we find that the launch of the trade war against Chinese exports by the US on average reduces Chinese total exports to the US by 16.47%. Further decomposition shows that the reduction in exports is mostly explained by a decrease in quantity, with prices relatively unchanged. Meanwhile, negative trade shocks cause export diversion to countries that are closer and have larger economies, and exports in R&D-intensive, skilled-labor-intensive, high-capital-income-share, and upstream industries have been diverted even more. Heterogeneous analyses show that industries with a comparative advantage, high export growth, large export value, and high elasticity of substitution are more responsive to trade protection.","Jiang, Lingduo & Lu, Yi & Song, Hong & Zhang, Guofeng, 2023. ""Responses of exporters to trade protectionism: Inferences from the US-China trade war,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001192.html,140(C)., 10.1016/j.jinteco.2022.103687,2023
Journal of International Economics,Third-country effects of regional trade agreements: A firm-level analysis,"['Lee, Woori', 'Mulabdic, Alen', 'Ruta, Michele']","How do regional trade agreements impact exporters in non-member countries? We revisit this long-standing trade policy question using firm-level data from Costa Rica and detailed information on the content of trade agreements. Differently from the conventional view on trade diversion, the analysis shows that “deep” regional trade agreements can have a positive spillover effect: they increase the probability of export and entry of third-country firms that previously exported to one of the member countries. This spillover effect is driven by provisions that are nondiscriminatory and address regulatory issues, as they make member countries more “similar”, thus allowing to reduce entry costs. Indeed, firms exporting regulation-intensive products benefit disproportionately more from deep trade agreements in destination markets.","Lee, Woori & Mulabdic, Alen & Ruta, Michele, 2023. ""Third-country effects of regional trade agreements: A firm-level analysis,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001209.html,140(C)., 10.1016/j.jinteco.2022.103688,2023
Journal of International Economics,"Sovereign bond prices, haircuts and maturity","['Asonuma, Tamon', 'Niepelt, Dirk', 'Ranciere, Romain']","We document that creditor losses (“haircuts”) during sovereign debt restructurings vary across debt maturity. In our novel dataset on instrument-specific haircuts suffered by private creditors in 1999–2020 we find larger losses on short- than long-term debt, independently of the specific haircut measure we use. A standard asset pricing model rationalizes our findings under two assumptions, both of which are satisfied in the data: increasing short-run restructuring risk in the run-up to a restructuring, and high exit yields. We relate our findings to the policy debate on restructuring procedures.","Asonuma, Tamon & Niepelt, Dirk & Ranciere, Romain, 2023. ""Sovereign bond prices, haircuts and maturity,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001210.html,140(C)., 10.1016/j.jinteco.2022.103689,2023
Journal of International Economics,Import substitution in illicit methamphetamine markets,"['Freylejer, Leandro', 'Orr, Scott']","The United States passed a series of precursor control laws between 2004 and 2006 which aimed to decrease illicit methamphetamine production by limiting access to key inputs. We provide evidence that this caused suppliers to substitute towards Mexican-produced methamphetamine. Using a difference-in-differences identification strategy, we show that the treatment effect of precursor controls on lab seizures was largest in the middle of the United States. This is consistent with substitution towards imports, where differences in each region's ability to substitute towards imports generates heterogeneous effects on domestic production. To quantify the effect of precursor controls on domestic costs and imports, we estimate a model of illicit methamphetamine production using data on lab seizures and methamphetamine prices. We find that precursor controls increased domestic costs by 114%–190%. Substitution towards Mexican-produced methamphetamine decreased the effect of precursor controls on methamphetamine prices by 62%–83%, relative to a counterfactual world without import substitution.","Freylejer, Leandro & Orr, Scott, 2023. ""Import substitution in illicit methamphetamine markets,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001222.html,140(C)., 10.1016/j.jinteco.2022.103690,2023
Journal of International Economics,The open-economy ELB: Contractionary monetary easing and the trilemma,"['Cavallino, Paolo', 'Sandri, Damiano']","Contrary to Mundell's trilemma, we show that free capital mobility may prevent monetary policy from ensuring output stability even if the exchange rate is flexible due to the existence of an Effective Lower Bound. The ELB is an interest rate threshold below which monetary easing becomes contractionary because of adverse effects on credit supply. A tightening in global monetary and financial conditions increases the ELB and may force central banks to hike rates even though domestic economic activity contracts. We also show that the ELB gives rise to a novel inter-temporal trade-off for monetary policy and calls for using a broad range of policy tools to restore monetary transmission.","Cavallino, Paolo & Sandri, Damiano, 2023. ""The open-economy ELB: Contractionary monetary easing and the trilemma,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001234.html,140(C)., 10.1016/j.jinteco.2022.103691,2023
Journal of International Economics,Sovereign credit and exchange rate risks: Evidence from Asia-Pacific local currency bonds,"['Chernov, Mikhail', 'Creal, Drew', 'Hördahl, Peter']","We study the dynamic properties of sovereign bonds in emerging markets and their associated risk premiums. We focus on the properties of credit spreads, exchange rates, and their interaction. Relying on the term structure of local currency bonds issued by Asia-Pacific sovereigns, we find that local variables are significant in the dynamics of currency and credit risk, and the components of bond risk premiums reflecting these risks. Local currency bonds dramatically improve the investment frontier.","Chernov, Mikhail & Creal, Drew & Hördahl, Peter, 2023. ""Sovereign credit and exchange rate risks: Evidence from Asia-Pacific local currency bonds,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001246.html,140(C)., 10.1016/j.jinteco.2022.103692,2023
Journal of International Economics,Trade intermediation by producers,"['Erbahar, Aksel', 'Rebeyrol, Vincent']","This paper shows that manufacturing exporters export goods that they have not produced and thus also act as trade intermediaries. The geographical dimension of the data reveals that almost half of these exports of “sourced” products are purely intermediated: to many destinations, firms export sourced products only. We find that this type of intermediation is ubiquitous across firms, products, and destinations, and is robust to a battery of alternative definitions. These findings show that trade intermediation by producers (TIP) is not solely driven by carry-along trade, where produced and sourced products are bundled when exported. Our decomposition of TIP highlights that trade intermediation should be identified at the firm-product-destination level. The prevalence of pure intermediation for all manufacturing exporters, including the largest ones, suggests that intermediation plays an important role in firms' participation and success in international markets.","Erbahar, Aksel & Rebeyrol, Vincent, 2023. ""Trade intermediation by producers,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001258.html,140(C)., 10.1016/j.jinteco.2022.103693,2023
Journal of International Economics,"Migration, tariffs, and China's export surge","['Liu, Chen', 'Ma, Xiao']","We build a multi-sector spatial general equilibrium model that features heterogeneous firms' and workers' location choices to account for China's export surge between 1990 and 2005 using three policy changes: China's import tariffs, tariffs imposed against China's exports, and barriers to internal migration in China. We find that tariff and migration policies jointly accounted for 30% of China's export growth. We also find evidence that suggests a positive interaction effect of tariff and migration policies. As migration reform prepared the country to become more export oriented, China enjoyed faster export growth after opening to trade than it would have otherwise.","Liu, Chen & Ma, Xiao, 2023. ""Migration, tariffs, and China's export surge,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001283.html,140(C)., 10.1016/j.jinteco.2022.103696,2023
Journal of International Economics,Endogenous product adjustment and exchange rate pass-through,"['Freitag, Andreas', 'Lein, Sarah M.']","We document how product quality responds to exchange rate movements and quantify the extent to which these quality changes affect the aggregate pass-through into export prices. We analyze the substantial sudden appreciation of the Swiss franc post removal of the 1.20-CHF-per-euro lower bound in 2015 using export data representing a large share of the universe of goods exports from Switzerland. We find that firms upgrade the quality of their products after the appreciation. Furthermore, they disproportionately remove lower-quality products from their product ranges. This quality upgrading and quality sorting effect accounts for a substantial share of the total pass-through one year after the appreciation. We cross-check our results with the microdata underlying the Swiss export price index, which includes an adjustment factor for quality based on firms' reported product replacements, and obtain similar results.","Freitag, Andreas & Lein, Sarah M., 2023. ""Endogenous product adjustment and exchange rate pass-through,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001386.html,140(C)., 10.1016/j.jinteco.2022.103706,2023
Journal of International Economics,Capital flows in an aging world,"['Bárány, Zsófia L.', 'Coeurdacier, Nicolas', 'Guibaud, Stéphane']","We investigate the importance of worldwide demographic evolutions in shaping capital flows across countries. Our lifecycle model incorporates cross-country differences in fertility and longevity as well as differences in countries' ability to borrow inter-temporally and across generations through social security. In this environment, global aging triggers uphill capital flows from emerging to advanced economies, while country-specific demographic evolutions reallocate capital towards countries aging more slowly. Our quantitative multi-country overlapping generations model explains a large fraction of long-term capital flows across advanced and emerging countries.","Bárány, Zsófia L. & Coeurdacier, Nicolas & Guibaud, Stéphane, 2023. ""Capital flows in an aging world,"" Journal of International Economics, Elsevier, vol. 140(C).",N\A,https://ideas.repec.org/a/eee/inecon/v140y2023ics0022199622001398.html,140(C)., 10.1016/j.jinteco.2022.103707,2023
