journal,title,authors,abstract,cite,jel,url,vol,doi,year
Journal of Monetary Economics,Unequal growth,"['Lippi, Francesco', 'Perri, Fabrizio']","Over the past 50 years, households in the United States have experienced changes in earnings dynamics that have resulted in a large increase in inequality. This paper assesses the impact of these changes on aggregate growth and welfare. We begin by inspecting a simple statistical decomposition of aggregate earnings growth using data from the Panel Study of Income Dynamics for the period 1967–2018. The decomposition expresses aggregate earnings growth as the sum of two terms. The first is the covariance between the level and growth of household earnings, which depends only on micro earnings dynamics. The second is the average growth across households, which depends on both micro and macro factors, such as a common labor productivity growth. In order to identify the impact of the changes in the micro dynamics on aggregate outcomes, we map a simple model of micro-founded growth onto the terms of the decomposition. We find that changes in households’ earnings dynamics that are consistent with the micro data imply unequal growth across the earnings distribution that is, a transition period during which there is a change in the shape of the distribution of incomes that is not mean preserving, so that aggregate growth is affected. This change yields a positive effect on aggregate growth and, with incomplete markets, an ex-ante negative welfare effect.","Lippi, Francesco & Perri, Fabrizio, 2023. ""Unequal growth,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 1-18.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp1-18.html,"133(C), pages 1-18.", 10.1016/j.jmoneco.2022.12.001,2023
Journal of Monetary Economics,Comments on unequal growth,"['Gallipoli, Giovanni']","What is the relationship between income inequality and aggregate growth? Through an ingenious decomposition, Lippi and Perri cast this relationship as a function of simple moments of the distribution of changes in household income. Their study delivers new evidence linking heterogeneous micro-level income changes to macro-level growth outcomes. Faster income growth among rich households has mitigated the slowdown of aggregate growth in the US, especially after 2000. These findings bring forth questions about the origins of unequal growth and its impact on the welfare of different subsets of the population.","Gallipoli, Giovanni, 2023. ""Comments on unequal growth,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 19-24.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp19-24.html,"133(C), pages 19-24.", 10.1016/j.jmoneco.2022.11.011,2023
Journal of Monetary Economics,Wealth inequality dynamics in europe and the united states: Understanding the determinants,"['Blanchet, Thomas', 'Martínez-Toledano, Clara']","This paper studies the interaction between the long-term dynamics of aggregate household wealth and the wealth distribution in Europe and the United States. We do so by building the first Distributional Wealth Accounts for Europe, including households’ assets, liabilities, investment flows, and the wealth distribution for most European countries from 1970–2020. We find that although aggregate household wealth to income ratios have followed a similar increasing pattern in both Europe and the United States since 1970, wealth concentration has increased much faster in the United States. Using wealth accumulation decompositions and counterfactual simulations, we show that the weaker rise in labor income inequality and the stronger rise in house prices relative to financial assets in Europe versus the United States appear to explain why Europe has experienced a more moderate rise in wealth concentration since the mid-1980s.","Blanchet, Thomas & Martínez-Toledano, Clara, 2023. ""Wealth inequality dynamics in europe and the united states: Understanding the determinants,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 25-43.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp25-43.html,"133(C), pages 25-43.", 10.1016/j.jmoneco.2022.11.010,2023
Journal of Monetary Economics,Comments on “Wealth inequality dynamics in Europe and the United States: Understanding the determinants” by Blanchet and Martínez-Toledano,"['Zwick, Eric']","In this paper, Blanchet and Martínez-Toledano collect, expand, and harmonize wealth and income inequality statistics from prior research and public data sets for the U.S. and E.U. It is a huge undertaking. My comments focus on whether the data permit us at this point to draw these conclusions, or whether differences in methodology and data construction require further reconciliation. While I lean toward the latter judgement, I view this paper and the underlying project as a first, constructive step in an ambitious agenda, with many avenues yet to explore.","Zwick, Eric, 2023. ""Comments on “Wealth inequality dynamics in Europe and the United States: Understanding the determinants” by Blanchet and Martínez-Toledano,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 44-47.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp44-47.html,"133(C), pages 44-47.", 10.1016/j.jmoneco.2022.11.012,2023
Journal of Monetary Economics,"Globalization, trade imbalances and inequality","['Dix-Carneiro, Rafael', 'Traiberman, Sharon']","What is the role of trade imbalances for the distributional consequences of globalization? We answer this question through the lens of a quantitative, general equilibrium, multi-country, multi-sector model of trade with four key ingredients: (a) workers with different levels of skills are organized into separate representative households; (b) endogenous trade imbalances arise from households’ consumption and saving decisions; (c) production exhibits capital-skill complementarity; and (d) labor markets feature both sectoral mobility frictions and non-employment. We conduct a series of counterfactual experiments that illustrate the quantitative importance of both trade imbalances and capital-skill complementarity for the dynamics of the skill premium. We show that modeling trade imbalances can lead to stark differences between short- and long-run consequences of globalization shocks for the skill premium.","Dix-Carneiro, Rafael & Traiberman, Sharon, 2023. ""Globalization, trade imbalances and inequality,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 48-72.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp48-72.html,"133(C), pages 48-72.", 10.1016/j.jmoneco.2022.10.002,2023
Journal of Monetary Economics,"A comment on: Globalization, trade imbalances and inequality","['Caliendo, Lorenzo']",No abstract is available for this item.,"Caliendo, Lorenzo, 2023. ""A comment on: Globalization, trade imbalances and inequality,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 73-76.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp73-76.html,"133(C), pages 73-76.", 10.1016/j.jmoneco.2022.11.002,2023
Journal of Monetary Economics,A north-south model of structural change and growth,"['Aristizabal-Ramirez, Maria', 'Leahy, John', 'Tesar, Linda L.']","This paper is motivated by a set of cross-country observations on economic growth, structural transformation, and investment rates in a large sample of countries, We observe a hump-shaped relationship between a country’s investment rate and its level of development, both within countries over time and across countries. Advanced economies reach their investment peak at a higher level of income and at an earlier point in time relative to emerging markets. We also observe the familiar patterns of structural change (a decline in the agricultural share and an increase in the services share, both relative to manufacturing). The pace of change observed in the 1930 to 1980 period in advanced economies is remarkably similar to that in emerging markets since 1960. Motivated by these facts, we develop a two-region model of the world economy that captures the dynamics of investment and structural change. The regions are isolated from each other up to the point of capital market liberalization in the early 1990s. At that point, capital flows from advanced economies to emerging markets and accelerates the process of structural change in emerging markets. Both regions gain from the liberalization of financial markets, but the majority of the gains accrue to the emerging economies. The overall magnitude of gains depends on the date of liberalization, the relative sizes of the two regions and the degree of asymmetry between the two regions at the point of liberalization. Finally, we consider the impact of a “second wave” of liberalization when China fully opens its economy to capital inflows.","Aristizabal-Ramirez, Maria & Leahy, John & Tesar, Linda L., 2023. ""A north-south model of structural change and growth,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 77-102.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp77-102.html,"133(C), pages 77-102.", 10.1016/j.jmoneco.2022.10.003,2023
Journal of Monetary Economics,Does the Cream Always Rise to the Top? The Misallocation of Talent in Innovation,"['Celik, Murat Alp']","The misallocation of talent in innovation – “missing Einsteins” – has a first-order impact on growth and welfare. Surname-level empirical analysis combining inventor and census micro-data reveals people from richer backgrounds are more likely to become inventors, but those from high-education backgrounds become more prolific inventors. Motivated by this discrepancy, an endogenous growth model with financial frictions on the household side is developed. Individuals compete for scarce inventor training. The rich can become inventors even if mediocre through excessive credentialing spending. Shutting down credentialing spending raises innovation, growth, welfare, and inequality. Optimal progressive bequest taxes increase growth and welfare, but reduce inequality.","Celik, Murat Alp, 2023. ""Does the Cream Always Rise to the Top? The Misallocation of Talent in Innovation,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 105-128.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp105-128.html,"133(C), pages 105-128.", 10.1016/j.jmoneco.2022.11.003,2023
Journal of Monetary Economics,Comment on “Does the Cream Always Rise to the Top? The Misallocation of Talent in Innovation” by Murat Alp Celik,"['Baslandze, Salomé']",No abstract is available for this item.,"Baslandze, Salomé, 2023. ""Comment on “Does the Cream Always Rise to the Top? The Misallocation of Talent in Innovation” by Murat Alp Celik,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 129-131.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp129-131.html,"133(C), pages 129-131.", 10.1016/j.jmoneco.2022.11.005,2023
Journal of Monetary Economics,Wealth Inequality and Endogenous Growth,"['Lee, Byoungchan']","Advanced economies have been experiencing productivity slowdowns, rising inequality, and low consumption-to-wealth ratios in recent decades. Using an analytically tractable endogenous growth model with heterogeneous households, I emphasize a channel that connects inequality with productivity growth through aggregate consumption demand and the returns to R&D. Given realistic increases in wealth (inclusive of income) inequality, the calibrated model generates transition dynamics featuring productivity slowdowns, low aggregate demand, and low real interest rates, consistent with the empirical trends. The welfare cost of rising inequality is substantial and is nearly equally split between changes in the consumption distribution and slow growth.","Lee, Byoungchan, 2023. ""Wealth Inequality and Endogenous Growth,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 132-148.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp132-148.html,"133(C), pages 132-148.", 10.1016/j.jmoneco.2022.11.004,2023
