,journal,title,authors,volume,jel,abstract,url,doi
0,The Quarterly Journal of Economics,Systemic Discrimination Among Large U.S. Employers*,"['Patrick Kline', 'Evan K Rose', 'Christopher R Walters']","2022, vol. 137, issue 4, 1963-2036",[],"Abstract: We study the results of a massive nationwide correspondence experiment sending more than 83,000 fictitious applications with randomized characteristics to geographically dispersed jobs posted by 108 of the largest U.S. employers. Distinctively Black names reduce the probability of employer contact by 2.1 percentage points relative to distinctively white names. The magnitude of this racial gap in contact rates differs substantially across firms, exhibiting a between-company standard deviation of 1.9 percentage points. Despite an insignificant average gap in contact rates between male and female applicants, we find a between-company standard deviation in gender contact gaps of 2.7 percentage points, revealing that some firms favor male applicants and others favor women. Company-specific racial contact gaps are temporally and spatially persistent, and negatively correlated with firm profitability, federal contractor status, and a measure of recruiting centralization. Discrimination exhibits little geographical dispersion, but two-digit industry explains roughly half of the cross-firm variation in both racial and gender contact gaps. Contact gaps are highly concentrated in particular companies, with firms in the top quintile of racial discrimination responsible for nearly half of lost contacts to Black applicants in the experiment. Controlling false discovery rates to the 5% level, 23 companies are found to discriminate against Black applicants. Our findings establish that discrimination against distinctively Black names is concentrated among a select set of large employers, many of which can be identified with high confidence using large-scale inference methods.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a1963-2036..htm,10.1093/qje/qjac024
1,The Quarterly Journal of Economics,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits*,"['Tamma Carleton', 'Amir Jina', 'Michael Delgado', 'Michael Greenstone', 'Trevor Houser', 'Solomon Hsiang', 'Andrew Hultgren', 'Robert Kopp', 'Kelly E McCusker', 'Ishan Nath', 'James Rising', 'Ashwin Rode', 'Hee Kwon Seo', 'Arvid Viaene', 'Jiacan Yuan', 'Alice Tianbo Zhang']","2022, vol. 137, issue 4, 2037-2105",[],"Abstract: Using 40 countries’ subnational data, we estimate age-specific mortality-temperature relationships and extrapolate them to countries without data today and into a future with climate change. We uncover a U-shaped relationship where extre6me cold and hot temperatures increase mortality rates, especially for the elderly. Critically, this relationship is flattened by higher incomes and adaptation to local climate. Using a revealed-preference approach to recover unobserved adaptation costs, we estimate that the mean global increase in mortality risk due to climate change, accounting for adaptation benefits and costs, is valued at roughly 3.2% of global GDP in 2100 under a high-emissions scenario. Notably, today’s cold locations are projected to benefit, while today’s poor and hot locations have large projected damages. Finally, our central estimates indicate that the release of an additional ton of CO2 today will cause mortality-related damages of $36.6 under a high-emissions scenario, with an interquartile range accounting for both econometric and climate uncertainty of [−$7.8, $73.0]. These empirically grounded estimates exceed the previous literature’s estimates by an order of magnitude.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2037-2105..htm,10.1093/qje/qjac020
2,The Quarterly Journal of Economics,Reshaping Global Trade: The Immediate and Long-Run Effects of Bank Failures*,['Chenzi Xu'],"2022, vol. 137, issue 4, 2107-2161",[],"Abstract: I show that a disruption to the financial sector can reshape the patterns of global trade for decades. I study the first modern global banking crisis originating in London in 1866 and collect archival loan records that link multinational banks headquartered there to their lending abroad. Countries exposed to bank failures in London immediately exported significantly less and did not recover their lost growth relative to unexposed places. Their market shares within each destination also remained significantly lower for four decades. Decomposing the persistent market-share losses shows that they primarily stem from lack of extensive-margin growth, as the financing shock caused importers to source more from new trade partnerships. Exporters producing more substitutable goods, those with little access to alternative forms of credit, and those trading with more distant partners experienced more persistent losses, consistent with the existence of sunk costs and the importance of finance for intermediating trade.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2107-2161..htm,10.1093/qje/qjac016
3,The Quarterly Journal of Economics,Sexual Harassment and Gender Inequality in the Labor Market*,"['Olle Folke', 'Johanna Rickne']","2022, vol. 137, issue 4, 2163-2212",[],"Abstract: We describe how sexual harassment contributes to sex segregation and pay inequality in the labor market. Combining nationally representative survey data and administrative data, we show that both harassment and wages vary strongly and systematically across workplaces. Women self-report more harassment from colleagues and managers in male-dominated workplaces where wages are relatively high, and men self-report more harassment in female-dominated workplaces where wages are low. These patterns imply two ways that harassment may contribute to gender inequality. First, harassment deters women and men from applying for jobs in workplaces where they are the gender minority. A survey experiment with hypothetical job choices supports this mechanism. Respondents are highly averse to accepting jobs in workplaces with a higher harassment risk for their own gender, but less averse when people of the opposite sex are at higher risk. A second way that harassment contributes to inequality is by making workplace gender minorities leave their workplaces for new jobs. An analysis of workplace transitions supports this mechanism. Women who self-report harassment are more likely to switch to new workplaces with more female colleagues and lower pay.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2163-2212..htm,10.1093/qje/qjac018
4,The Quarterly Journal of Economics,The Quality and Efficiency of Public and Private Firms: Evidence from Ambulance Services*,"['Daniel Knutsson', 'Björn Tyrefors']","2022, vol. 137, issue 4, 2213-2262",[],"Abstract: Economic theory predicts that outsourcing public services to private firms reduces costs, but the effect on quality is ambiguous. We explore quality differences between publicly and privately owned ambulances in Stockholm County, Sweden, a setting where patients are as good as randomly assigned to ambulances with different ownership status. We find that private ambulances reduce costs and perform better on contracted measures such as response time, but perform worse on noncontracted measures such as mortality. In fact, a patient has a 1.4% higher risk of death within three years if a private ambulance is dispatched (in aggregate, 420 more deaths each year). We also present evidence of the mechanism at work, suggesting that private firms cut costs at the expense of ambulance staff quality.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2213-2262..htm,10.1093/qje/qjac014
5,The Quarterly Journal of Economics,Does Welfare Prevent Crime? the Criminal Justice Outcomes of Youth Removed from Ssi*,"['Manasi Deshpande', 'Michael Mueller-Smith']","2022, vol. 137, issue 4, 2263-2307",[],"Abstract: We estimate the effect of losing Supplemental Security Income (SSI) benefits at age 18 on criminal justice and employment outcomes over the next two decades. To estimate this effect, we use a regression discontinuity design in the likelihood of being reviewed for SSI eligibility at age 18 created by the 1996 welfare reform law. We evaluate this natural experiment with Social Security Administration data linked to records from the Criminal Justice Administrative Records System. We find that SSI removal increases the number of criminal charges by a statistically significant 20% over the next two decades. The increase in charges is concentrated in offenses for which income generation is a primary motivation (60% increase), especially theft, burglary, fraud/forgery, and prostitution. The effect of SSI removal on criminal justice involvement persists more than two decades later, even as the effect of removal on contemporaneous SSI receipt diminishes. In response to SSI removal, youth are twice as likely to be charged with an illicit income-generating offense than they are to maintain steady employment at 15,000/year in the labor market. As a result of these charges, the annual likelihood of incarceration increases by a statistically significant 60% in the two decades following SSI removal. The costs to taxpayers of enforcement and incarceration from SSI removal are so high that they nearly eliminate the savings to taxpayers from reduced SSI benefits.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2263-2307..htm,10.1093/qje/qjac017
6,The Quarterly Journal of Economics,Labor Market Returns and the Evolution of Cognitive Skills: Theory and Evidence*,"['Santiago Hermo', 'Miika Päällysaho', 'David Seim', 'Jesse Shapiro']","2022, vol. 137, issue 4, 2309-2361",[],"Abstract: A large literature in cognitive science studies the puzzling “Flynn effect” of rising fluid intelligence (reasoning skill) in rich countries. We develop an economic model in which a cohort’s mix of skills is determined by different skills’ relative returns in the labor market and by the technology for producing skills. We estimate the model using administrative data from Sweden. Combining data from exams taken at military enlistment with earnings records from the tax register, we document an increase in the relative labor market return to logical reasoning skill as compared to vocabulary knowledge. The estimated model implies that changes in labor market returns explain 37% of the measured increase in reasoning skill, and can also explain the decline in knowledge. An original survey of parents, an analysis of trends in school curricula, and an analysis of occupational characteristics show evidence of increasing emphasis on reasoning as compared to knowledge.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2309-2361..htm,10.1093/qje/qjac022
7,The Quarterly Journal of Economics,Army Service in the All-Volunteer Era*,"['Kyle Greenberg', 'Matthew Gudgeon', 'Adam Isen', 'Corbin Miller', 'Richard Patterson']","2022, vol. 137, issue 4, 2363-2418","['H50', 'J15', 'J31', 'J45']","Abstract: Since the beginning of the all-volunteer era, millions of young Americans have chosen to enlist in the military. These volunteers disproportionately come from disadvantaged backgrounds, and while some aspects of military service are likely to be beneficial, exposure to violence and other elements of service could worsen outcomes. This article links the universe of army applicants between 1990 and 2011 to their federal tax records and other administrative data and uses two eligibility thresholds in the Armed Forces Qualification Test (AFQT) in a regression discontinuity design to estimate the effects of army enlistment on earnings and related outcomes. In the 19 years following application, army service increases average annual earnings by over $4,000 at both cutoffs. However, whether service increases long-run earnings varies significantly by race. Black servicemembers experience annual gains of $5,500 to $15,000 11–19 years after applying while white servicemembers do not experience significant changes. By providing Black servicemembers a stable and well-paying army job and by opening doors to higher-paid postservice employment, the army significantly closes the Black-white earnings gap in our sample.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2363-2418..htm,10.1093/qje/qjac026
8,The Quarterly Journal of Economics,Competing Models*,"['José Luis Montiel Olea', 'Pietro Ortoleva', 'Mallesh M Pai', 'Andrea Prat']","2022, vol. 137, issue 4, 2419-2457",[],"Abstract: Different agents need to make a prediction. They observe identical data, but have different models: they predict using different explanatory variables. We study which agent believes they have the best predictive ability—as measured by the smallest subjective posterior mean squared prediction error—and show how it depends on the sample size. With small samples, we present results suggesting it is an agent using a low-dimensional model. With large samples, it is generally an agent with a high-dimensional model, possibly including irrelevant variables, but never excluding relevant ones. We apply our results to characterize the winning model in an auction of productive assets, to argue that entrepreneurs and investors with simple models will be overrepresented in new sectors, and to understand the proliferation of “factors” that explain the cross-sectional variation of expected stock returns in the asset-pricing literature.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2419-2457..htm,10.1093/qje/qjac015
9,The Quarterly Journal of Economics,Improving Management Through Worker Evaluations: Evidence from Auto Manufacturing*,"['Jing Cai', 'Shing-Yi Wang']","2022, vol. 137, issue 4, 2459-2497",[],"Abstract: Using a randomized experiment with an automobile manufacturing firm in China, we measure the effects of letting workers evaluate their managers on worker and firm outcomes. In the treatment teams, workers evaluate their managers monthly. We find that providing feedback leads to significant reductions in worker turnover and increases in team-level productivity. In addition, workers report higher levels of happiness and well-being. The evidence suggests that these results are driven by learning by managers, leading to changes in their behavior and an overall better relationship between managers and workers.",https://econpapers.repec.org/article/oupqjecon/v_3a137_3ay_3a2022_3ai_3a4_3ap_3a2459-2497..htm,10.1093/qje/qjac019
