affiliationid,,email,match_score,,Rank,name,univer_ins,decision,result
au.aalto.fi,,aalto.fi,0.796296296,,309,Aalto University,Carleton University,,
kriot.kth.se,,kth.se,0.747008461,,78,KTH Royal Institute of Technology,Beijing Institute of Technology,,
uocla.ucla.edu,,ucla.edu,0.694444444,,157,"University of California, Los Angeles",University of Queensland,,
aei.aei.org,,aei.org,0.759987901,,212,American Enterprise Institute,Economic and Social Research Institute,,
miot.mit.edu,,mit.edu,1,,8,Massachusetts Institute of Technology,Massachusetts Institute of Technology,TRUE,8
ciot.caltech.edu,,caltech.edu,0.867772989,,78,California Institute of Technology,Beijing Institute of Technology,,
hu.harvard.edu,,harvard.edu,1,,5,Harvard University,Harvard University,TRUE,5
su.stanford.edu,,stanford.edu,1,,14,Stanford University,Stanford University,TRUE,14
uop.upenn.edu,,upenn.edu,1,,55,University of Pennsylvania,University of Pennsylvania,TRUE,55
ai.amazon.com,,amazon.com,0.693181818,,448,Amazon Inc.,Chapman University,,
au.american.edu,,american.edu,0.746666667,,129,American University,Academia Romana,,
ac.amherst.edu,,amherst.edu,0.800201106,,83,Amherst College,Dartmouth College,,
cmu.cmu.edu,,cmu.edu,1,,360,Carnegie Mellon University,Carnegie Mellon University,TRUE,360
anu.anu.edu.au,,anu.edu.au,1,,99,Australian National University,Australian National University,TRUE,99
au.ariel.ac.il,,ariel.ac.il,0.746031746,,196,Ariel University,Drexel University,,
uoa.arizona.edu,,arizona.edu,0.792592593,,416,University of Arizona,University of Alberta,,
asu.asu.edu,,asu.edu,1,,177,Arizona State University,Arizona State University,TRUE,177
frboa.atl.frb.org,,atl.frb.org,1,,257,Federal Reserve Bank of Atlanta,Federal Reserve Bank of Atlanta,TRUE,257
auob.aub.edu.lb,,aub.edu.lb,0.666379372,,386,American University of Beirut,Central Bank of Ireland,,
au.auburn.edu,,auburn.edu,0.714285714,,399,Auburn University,Curtin University,,
uoa.auckland.ac.nz,,auckland.ac.nz,0.84,,113,University of Auckland,University of Maryland,,
auoeab.aueb.gr,,aueb.gr,1,,213,Athens University of Economics and Business,Athens University of Economics and Business,TRUE,213
auos.aus.edu,,aus.edu,0.662962963,,302,American University of Sharjah,University of Manchester,,
uotaa.utexas.edu,,utexas.edu,0.923270847,,65,University of Texas at Austin,University of Texas-Austin,TRUE,65
auot.aut.ac.nz,,aut.ac.nz,1,,484,Auckland University of Technology,Auckland University of Technology,TRUE,484
hu.uni-heidelberg.de,,uni-heidelberg.de,0.656277056,,196,Heidelberg University,Drexel University,,
yu.yale.edu,,yale.edu,1,,35,Yale University,Yale University,TRUE,35
bc.babson.edu,,babson.edu,0.839285714,,100,Babson College,Boston College,,
tcuohk.cuhk.edu.hk,,cuhk.edu.hk,0.67348773,,425,The Chinese University of Hong Kong,National Research University Higher School of Economics,,
boc.bankofcanada.ca,,bankofcanada.ca,1,,51,Bank of Canada,Bank of Canada,TRUE,51
boe.bankofengland.co.uk,,bankofengland.co.uk,1,,22,Bank of England,Bank of England,TRUE,22
cuony.cuny.edu,,cuny.edu,0.694949495,,487,City University of New York,University of Cape Town,,
uob.bath.ac.uk,,bath.ac.uk,0.857777778,,462,University of Bath,University of Utah,,
uoh.uh.edu,,uh.edu,1,,440,University of Houston,University of Houston,TRUE,440
bu.baylor.edu,,baylor.edu,0.707142857,,35,Baylor University,Yale University,,
buol.bbk.ac.uk,,bbk.ac.uk,0.805675806,,194,"Birkbeck, University of London",University of Hong Kong,,
bc.bc.edu,,bc.edu,1,,100,Boston College,Boston College,TRUE,100
bcdb.bcb.gov.br,,bcb.gov.br,0.920158103,,349,Banco Central do Brasil,Banco Central de Chile,,
bu.bentley.edu,,bentley.edu,0.713095238,,357,Bentley University,Tulane University,,
uocb.berkeley.edu,,berkeley.edu,0.685185185,,41,"University of California, Berkeley",DIW Berlin,,
uoz.uzh.ch,,uzh.ch,0.781481481,,77,University of Zurich,University of Warwick,,
buotn.bgu.ac.il,,bgu.ac.il,0.683327528,,79,Ben-Gurion University of the Negev,Government of the United States,,
uob.bham.ac.uk,,bham.ac.uk,1,,279,University of Birmingham,University of Birmingham,TRUE,279
bnbs.bi.no,,bi.no,0.786380286,,188,BI Norwegian Business School,Copenhagen Business School,,
bfis.bis.org,,bis.org,1,,11,Bank for International Settlements,Bank for International Settlements,TRUE,11
bu.biu.ac.il,,biu.ac.il,0.733333333,,44,Bar-Ilan University,Brown University,,
bl.bloomberg.net,,bloomberg.net,0.64869281,,348,Bloomberg LP,Banco de Portugal,,
frbob.bos.frb.org,,bos.frb.org,1,,207,Federal Reserve Bank of Boston,Federal Reserve Bank of Boston,TRUE,207
bdp.bportugal.pt,,bportugal.pt,1,,348,Banco de Portugal,Banco de Portugal,TRUE,348
bu.brandeis.edu,,brandeis.edu,1,,424,Brandeis University,Brandeis University,TRUE,424
uob.bris.ac.uk,,bris.ac.uk,1,,229,University of Bristol,University of Bristol,TRUE,229
msu.msu.edu,,msu.edu,1,,211,Michigan State University,Michigan State University,TRUE,211
bu.brocku.ca,,brocku.ca,0.844444444,,44,Brock University,Brown University,,
bi.brookings.edu,,brookings.edu,1,,333,Brookings Institution,Brookings Institution,TRUE,333
bu.brown.edu,,brown.edu,1,,44,Brown University,Brown University,TRUE,44
au.au.dk,,au.dk,0.877777778,,114,Aarhus University,Aarhus Universitet,TRUE,114
bu.bu.edu,,bu.edu,1,,38,Boston University,Boston University,TRUE,38
uab.buffalo.edu,,buffalo.edu,0.656986532,,135,University at Buffalo,Universitat de Barcelona,,
db.bundesbank.de,,bundesbank.de,1,,49,Deutsche Bundesbank,Deutsche Bundesbank,TRUE,49
uom.miami.edu,,miami.edu,1,,504,University of Miami,University of Miami,TRUE,504
uom.olemiss.edu,,olemiss.edu,0.847692308,,539,University of Mississippi,University of Missouri,,
uocf.ucf.edu,,ucf.edu,0.785770308,,54,University of Central Florida,University of Southern California,,
uow.wisc.edu,,wisc.edu,1,,151,University of Wisconsin-Madison,University of Wisconsin-Madison,TRUE,151
ru.rutgers.edu,,rutgers.edu,0.872727273,,268,Rutgers University,Rutgers University-New Brunswick,TRUE,268
siu.siu.edu,,siu.edu,0.865901934,,423,Southern Illinois University,Southern Methodist University,,
uoc.uconn.edu,,uconn.edu,1,,402,University of Connecticut,University of Connecticut,TRUE,402
uoq.uq.edu.au,,uq.edu.au,1,,157,University of Queensland,University of Queensland,TRUE,157
uou.utah.edu,,utah.edu,1,,462,University of Utah,University of Utah,TRUE,462
uos.uni-stuttgart.de,,uni-stuttgart.de,0.771717172,,159,University of Stuttgart,University of Pittsburgh,,
uom.uni-mannheim.de,,uni-mannheim.de,0.856666667,,302,University of Mannheim,University of Manchester,,
byu.byu.edu,,byu.edu,0.661044974,,360,Brigham Young University,Carnegie Mellon University,,
uoc.cam.ac.uk,,cam.ac.uk,1,,96,University of Cambridge,University of Cambridge,TRUE,96
cu.cf.ac.uk,,cf.ac.uk,1,,385,Cardiff University,Cardiff University,TRUE,385
cu.carleton.ca,,carleton.ca,1,,309,Carleton University,Carleton University,TRUE,309
cca.carloalberto.org,,carloalberto.org,0.654040404,,360,Collegio Carlo Alberto,Carnegie Mellon University,,
cwru.case.edu,,case.edu,0.662907268,,548,Case Western Reserve University,Wageningen Universiteit en Researchcentrum,,
cu.cau.ac.kr,,cau.ac.kr,0.666666667,,73,Chung-Ang University,University of Michigan,,
uoa.ua.edu,,ua.edu,0.89,,524,University of Alabama,University of Alabama-Tuscaloosa,TRUE,524
uof.ufl.edu,,ufl.edu,0.822222222,,220,University of Florida,University of Georgia,,
cbs.cbs.dk,,cbs.dk,1,,188,Copenhagen Business School,Copenhagen Business School,TRUE,188
cfdcap.cdc.gov,,cdc.gov,0.849457364,,205,Centers for Disease Control and Prevention,Centro de Estudios Monetarios y Financieros,,
ceibs.ceibs.edu,,ceibs.edu,0.738674117,,205,China Europe International Business School,Centro de Estudios Monetarios y Financieros,,
cfmafs(.cemfi.es,,cemfi.es,0.858162016,,205,Center for Monetary and Financial Studies (CEMFI),Centro de Estudios Monetarios y Financieros,,
ucb.census.gov,,census.gov,0.639110402,,49,U.S. Census Bureau,Deutsche Bundesbank,,
c.cerge-ei.cz,,cerge-ei.cz,0.675595238,,360,CERGE-EI,Carnegie Mellon University,,
ceu.ceu.hu,,ceu.hu,1,,401,Central European University,Central European University,TRUE,401
ccgfiar.cgiar.org,,cgiar.org,0.708169608,,34,CGIAR: Consultative Group for International Agricultural Research,International Food Policy Research Institute,,
cgu.cgu.edu,,cgu.edu,0.798245614,,404,Claremont Graduate University,Clemson University,,
cu.chapman.edu,,chapman.edu,1,,448,Chapman University,Chapman University,TRUE,448
uot.utoronto.ca,,utoronto.ca,1,,71,University of Toronto,University of Toronto,TRUE,71
frboc.frbchi.org,,frbchi.org,1,,92,Federal Reserve Bank of Chicago,Federal Reserve Bank of Chicago,TRUE,92
uoc.uchicago.edu,,uchicago.edu,1,,9,University of Chicago,University of Chicago,TRUE,9
au.univ-amu.fr,,univ-amu.fr,0.916666667,,112,Aix-Marseille University,Aix-Marseille Université,TRUE,112
cul.city.ac.uk,,city.ac.uk,0.714646465,,288,City University London,Trinity College Dublin,,
cuohk.cityu.edu.hk,,cityu.edu.hk,0.835227273,,194,City University of Hong Kong,University of Hong Kong,,
cu.clarku.edu,,clarku.edu,0.756666667,,309,Clark University,Carleton University,,
cu.clemson.edu,,clemson.edu,1,,404,Clemson University,Clemson University,TRUE,404
frboc.clev.frb.org,,clev.frb.org,1,,142,Federal Reserve Bank of Cleveland,Federal Reserve Bank of Cleveland,TRUE,142
cmc.cmc.edu,,cmc.edu,0.774666667,,404,Claremont McKenna College,Clemson University,,
